journal	articles	shared_ss
BMC Pulm Med	1	1
BMJ Open	1	0
Balkan J Med Genet	1	0
Biogerontology	1	0
Biol Pharm Bull	1	0
Biol Sex Differ	1	0
Biol Sport	1	0
Biom J	1	0
Biomark Med	1	0
Biomark Res	1	0
Biomed Environ Sci	1	0
Biometrics	1	0
Blood Cells Mol Dis	1	0
Bone Marrow Transplant	1	0
Bone Rep	1	0
Br J Clin Pharmacol	1	0
Br J Ophthalmol	1	0
Br J Sports Med	1	0
Brain Behav	1	0
Brain Imaging Behav	1	0
Brain Lang	1	0
Brain Sci	1	0
Brief Bioinform	1	0
Burns	1	1
Can Respir J	1	0
Cancer Biol Ther	1	0
Cancer Epidemiol	1	0
Cancer Immunol Immunother	1	0
Cancer Lett	1	0
Cancer Treat Res Commun	1	0
Cancers (Basel)	1	0
Cardiovasc Diabetol	1	1
Cardiovasc Res	1	0
Cell Metab	1	0
Cell Mol Gastroenterol Hepatol	1	0
Cell Physiol Biochem	1	0
Cells	1	0
Cephalalgia	1	0
Cerebellum	1	0
Chem Res Toxicol	1	0
Chemosphere	1	0
Child Dev	1	0
Chin J Integr Med	1	0
Chin Med J (Engl)	1	0
Circ Arrhythm Electrophysiol	1	0
Circ Heart Fail	1	0
Clin Chem	1	0
Clin Chim Acta	1	0
Clin Exp Hypertens	1	0
Clin Microbiol Infect	1	0
Clin Nutr	1	0
Clin Oral Investig	1	0
Clin Transl Gastroenterol	1	0
Comput Math Methods Med	1	0
Cortex	1	1
Curr Alzheimer Res	1	0
Demography	1	0
Depress Anxiety	1	0
Diabetes Metab Res Rev	1	0
Diabetes Metab Syndr Obes	1	0
Diabetes Res Clin Pract	1	0
Dig Dis Sci	1	0
Drug Dev Res	1	0
ESC Heart Fail	1	0
Endocrinol Metab (Seoul)	1	0
Environ Health	1	0
Environ Mol Mutagen	1	0
Environ Res	1	0
Epidemiol Health	1	0
Epilepsia	1	0
Epilepsia Open	1	0
Epilepsy Res	1	0
Eur J Appl Physiol	1	0
Eur J Cancer Prev	1	0
Eur J Drug Metab Pharmacokinet	1	0
Eur J Epidemiol	1	1
Eur J Gastroenterol Hepatol	1	0
Eur J Haematol	1	0
Eur J Med Genet	1	0
Eur J Obstet Gynecol Reprod Biol	1	0
Eur J Pain	1	0
Eur Psychiatry	1	0
Eur Urol	1	0
Exp Biol Med (Maywood)	1	0
Exp Eye Res	1	0
Exp Mol Med	1	0
Exp Ther Med	1	0
Expert Opin Drug Saf	1	0
F1000Res	1	0
FASEB J	1	0
Front Hum Neurosci	1	0
Front Immunol	1	0
Front Med	1	0
Front Microbiol	1	0
Front Mol Neurosci	1	0
Front Public Health	1	0
Genet Mol Res	1	0
Genome Biol	1	1
Genome Biol Evol	1	0
Genome Res	1	0
Georgian Med News	1	0
Gigascience	1	0
Gut Liver	1	0
Gynecol Obstet Invest	1	0
Heart	1	0
Heart Surg Forum	1	0
Hematol Oncol	1	0
Heredity (Edinb)	1	0
High Alt Med Biol	1	0
Hum Brain Mapp	1	0
Immunol Res	1	0
In Vivo	1	0
Infect Immun	1	0
Inflammation	1	0
Int Arch Allergy Immunol	1	0
Int Arch Occup Environ Health	1	0
Int Clin Psychopharmacol	1	0
Int J Chron Obstruct Pulmon Dis	1	0
Int J Eat Disord	1	0
Int J Immunogenet	1	0
Int J Infect Dis	1	0
Int J Med Sci	1	0
Int J Mol Med	1	0
Int J Paediatr Dent	1	0
Int J Rheum Dis	1	0
Int J Sports Med	1	0
Int J Sports Physiol Perform	1	0
Int Psychogeriatr	1	0
J Acad Nutr Diet	1	0
J Altern Complement Med	1	0
J Am Coll Cardiol	1	0
J Am Med Inform Assoc	1	0
J Androl	1	0
J Antimicrob Chemother	1	0
J Arthroplasty	1	0
J Assoc Res Otolaryngol	1	0
J Biol Rhythms	1	0
J Biomol Struct Dyn	1	0
J Bone Joint Surg Am	1	0
J Cachexia Sarcopenia Muscle	1	0
J Cereb Blood Flow Metab	1	0
J Clin Lipidol	1	0
J Dermatol	1	0
J Dermatol Sci	1	0
J Diabetes Complications	1	0
J Eur Acad Dermatol Venereol	1	0
J Expo Sci Environ Epidemiol	1	0
J Foot Ankle Res	1	0
J Gastroenterol	1	0
J Gen Virol	1	0
J Hand Surg Am	1	0
J Headache Pain	1	1
J Immunol Res	1	0
J Innate Immun	1	0
J Interferon Cytokine Res	1	0
J Korean Neurosurg Soc	1	0
J Matern Fetal Neonatal Med	1	0
J Med Virol	1	0
J Neurol	1	0
J Neuromuscul Dis	1	0
J Neuroophthalmol	1	0
J Neurovirol	1	0
J Nutr Intermed Metab	1	0
J Obes	1	0
J Occup Health	1	0
J Oncol	1	0
J Orthop Res	1	0
J Pediatr Gastroenterol Nutr	1	0
J Pediatr Orthop	1	0
J Periodontal Res	1	0
J Psychiatry Neurosci	1	0
J Sex Med	1	0
J Shoulder Elbow Surg	1	0
J Speech Lang Hear Res	1	0
J Strength Cond Res	1	0
J Stud Alcohol Drugs	1	0
J Thromb Thrombolysis	1	0
J Trauma Acute Care Surg	1	0
J Vasc Surg	1	0
JAMA Netw Open	1	0
JAMA Otolaryngol Head Neck Surg	1	0
Kidney Int Suppl	1	0
Lancet Diabetes Endocrinol	1	0
Lancet Infect Dis	1	0
Leuk Res	1	0
Lifestyle Genom	1	0
Lipids Health Dis	1	0
Lupus	1	0
Maturitas	1	0
Mayo Clin Proc	1	0
Mech Ageing Dev	1	0
Med Chem	1	0
Med Sci Monit	1	0
Mediators Inflamm	1	0
Melanoma Res	1	0
Microbiome	1	0
Mil Med	1	0
Mind Brain Educ	1	0
Mitochondrion	1	0
Mol Biol (Mosk)	1	0
Mol Brain	1	0
Mol Endocrinol	1	0
Mol Genet Metab Rep	1	0
Mol Med Rep	1	0
Mol Metab	1	0
Mol Neurodegener	1	0
Mol Nutr Food Res	1	0
Mol Pain	1	0
Mult Scler Relat Disord	1	0
Muscle Nerve	1	0
Mutagenesis	1	0
Nagoya J Med Sci	1	0
Nat Metab	1	1
Nat Microbiol	1	1
Neurobiol Dis	1	0
Neurodegener Dis	1	0
Neurogenetics	1	0
Neuropsychobiology	1	0
Neurosci Lett	1	0
Nutr Diabetes	1	0
Nutr J	1	0
Nutr Res Pract	1	0
Obstet Gynecol	1	0
Ocul Immunol Inflamm	1	0
Oncol Lett	1	0
Oral Dis	1	0
Oral Oncol	1	0
Orphanet J Rare Dis	1	0
PLoS Comput Biol	1	1
Pac Symp Biocomput	1	0
Pain Med	1	0
Pain Res Manag	1	0
Pancreatology	1	0
Papillomavirus Res	1	1
Pediatr Allergy Immunol	1	0
Pediatr Hematol Oncol	1	0
Pediatr Res	1	0
Pflugers Arch	1	0
Placenta	1	0
Plast Reconstr Surg	1	0
Platelets	1	0
Prostaglandins Leukot Essent Fatty Acids	1	0
Psychopharmacology (Berl)	1	0
Psychother Psychosom	1	0
Reprod Sci	1	0
Respiration	1	0
Respirology	1	0
Rheumatol Int	1	0
Scand J Gastroenterol	1	0
ScientificWorldJournal	1	0
Transfus Med Hemother	1	0
Transplantation	1	0
Turk J Pediatr	1	0
Viral Immunol	1	0
Yonsei Med J	1	0
mSphere	1	0
mSystems	1	0
