PMID	doi	year	first_author	title	journal	PubMed_url	doi_url
30178632	10.1111/aos.13769	2018	Meng W	A genome-wide association study suggests new evidence for an association of the NADPH Oxidase 4 (NOX4) gene with severe diabetic retinopathy in type 2 diabetes.	Acta Ophthalmol	https://pubmed.ncbi.nlm.nih.gov/30178632	https://doi.org/10.1111/aos.13769
31972866	10.1111/acps.13155	2020	Nagel M	Genome-wide association study of the sensitivity to environmental stress and adversity neuroticism cluster.	Acta Psychiatr Scand	https://pubmed.ncbi.nlm.nih.gov/31972866	https://doi.org/10.1111/acps.13155
21668797	10.1111/j.1369-1600.2010.00255.x	2010	Agrawal A	A genome-wide association study of DSM-IV cannabis dependence.	Addict Biol	https://pubmed.ncbi.nlm.nih.gov/21668797	https://doi.org/10.1111/j.1369-1600.2010.00255.x
22004471	10.1111/j.1369-1600.2011.00395.x	2011	Frank J	Genome-wide significant association between alcohol dependence and a variant in the ADH gene cluster.	Addict Biol	https://pubmed.ncbi.nlm.nih.gov/22004471	https://doi.org/10.1111/j.1369-1600.2011.00395.x
22780124	10.1111/j.1369-1600.2012.00463.x	2012	Lind PA	Genome-wide association study of a quantitative disordered gambling trait.	Addict Biol	https://pubmed.ncbi.nlm.nih.gov/22780124	https://doi.org/10.1111/j.1369-1600.2012.00463.x
22823124	10.1111/j.1369-1600.2012.00478.x	2012	Verweij KJ	The genetic aetiology of cannabis use initiation: a meta-analysis of genome-wide association studies and a SNP-based heritability estimation.	Addict Biol	https://pubmed.ncbi.nlm.nih.gov/22823124	https://doi.org/10.1111/j.1369-1600.2012.00478.x
24832863	10.1111/adb.12153	2014	Wetherill L	Association of substance dependence phenotypes in the COGA sample.	Addict Biol	https://pubmed.ncbi.nlm.nih.gov/24832863	https://doi.org/10.1111/adb.12153
26202629	10.1111/adb.12286	2016	Johnson EO	KAT2B polymorphism identified for drug abuse in African Americans with regulatory links to drug abuse pathways in human prefrontal cortex.	Addict Biol	https://pubmed.ncbi.nlm.nih.gov/26202629	https://doi.org/10.1111/adb.12286
27151647	10.1111/adb.12402	2016	Chen G	An association study revealed substantial effects of dominance, epistasis and substance dependence co-morbidity on alcohol dependence symptom count.	Addict Biol	https://pubmed.ncbi.nlm.nih.gov/27151647	https://doi.org/10.1111/adb.12402
29058377	10.1111/adb.12574	2017	Sanchez-Roige S	Genome-wide association study of alcohol use disorder identification test (AUDIT) scores in 20 328 research participants of European ancestry.	Addict Biol	https://pubmed.ncbi.nlm.nih.gov/29058377	https://doi.org/10.1111/adb.12574
29082582	10.1111/adb.12569	2017	Almli LM	Problematic alcohol use associates with sodium channel and clathrin linker 1 (SCLT1) in trauma-exposed populations.	Addict Biol	https://pubmed.ncbi.nlm.nih.gov/29082582	https://doi.org/10.1111/adb.12569
29532581	10.1111/adb.12618	2018	Hallfors J	Genome-wide association study in Finnish twins highlights the connection between nicotine addiction and neurotrophin signaling pathway.	Addict Biol	https://pubmed.ncbi.nlm.nih.gov/29532581	https://doi.org/10.1111/adb.12618
31270906	10.1111/adb.12800	2019	Lai D	Genome-wide association studies of the self-rating of effects of ethanol (SRE).	Addict Biol	https://pubmed.ncbi.nlm.nih.gov/31270906	https://doi.org/10.1111/adb.12800
31362332	10.1111/adb.12811	2019	Cheng Z	Genome-wide scan identifies opioid overdose risk locus close to MCOLN1.	Addict Biol	https://pubmed.ncbi.nlm.nih.gov/31362332	https://doi.org/10.1111/adb.12811
32281736	10.1111/adb.12898	2020	Fan R	Gene-based association analysis reveals involvement of LAMA5 and cell adhesion pathways in nicotine dependence in African- and European-American samples.	Addict Biol	https://pubmed.ncbi.nlm.nih.gov/32281736	https://doi.org/10.1111/adb.12898
34877740	10.1111/adb.13111	2021	Ye J	Associations between electronic devices use and common mental traits: A gene-environment interaction model using the UK Biobank data.	Addict Biol	https://pubmed.ncbi.nlm.nih.gov/34877740	https://doi.org/10.1111/adb.13111
22524403	10.1111/j.1360-0443.2012.03922.x	2012	Rice JP	CHRNB3 is more strongly associated with Fagerström test for cigarette dependence-based nicotine dependence than cigarettes per day: phenotype definition changes genome-wide association studies results.	Addiction	https://pubmed.ncbi.nlm.nih.gov/22524403	https://doi.org/10.1111/j.1360-0443.2012.03922.x
28921760	10.1111/add.14032	2017	Chenoweth MJ	Genome-wide association study of a nicotine metabolism biomarker in African American smokers: impact of chromosome 19 genetic influences.	Addiction	https://pubmed.ncbi.nlm.nih.gov/28921760	https://doi.org/10.1111/add.14032
30003630	10.1111/add.14368	2018	Minica CC	Genome-wide association meta-analysis of age at first cannabis use.	Addiction	https://pubmed.ncbi.nlm.nih.gov/30003630	https://doi.org/10.1111/add.14368
33861876	10.1111/add.15511	2021	Dao C	The impact of removing former drinkers from genome-wide association studies of AUDIT-C.	Addiction	https://pubmed.ncbi.nlm.nih.gov/33861876	https://doi.org/10.1111/add.15511
22773346	10.1007/s11357-012-9447-1	2012	Edwards DR	Linkage and association of successful aging to the 6q25 region in large Amish kindreds.	Age (Dordr)	https://pubmed.ncbi.nlm.nih.gov/22773346	https://doi.org/10.1007/s11357-012-9447-1
25637336	10.1007/s11357-015-9745-5	2015	Chan JP	Genetics of hand grip strength in mid to late life.	Age (Dordr)	https://pubmed.ncbi.nlm.nih.gov/25637336	https://doi.org/10.1007/s11357-015-9745-5
20834067	10.18632/aging.100191	2010	Yashin AI	Joint influence of small-effect genetic variants on human longevity.	Aging (Albany NY)	https://pubmed.ncbi.nlm.nih.gov/20834067	https://doi.org/10.18632/aging.100191
28077804	10.18632/aging.101151	2017	Ben-Avraham D	The complex genetics of gait speed: genome-wide meta-analysis approach.	Aging (Albany NY)	https://pubmed.ncbi.nlm.nih.gov/28077804	https://doi.org/10.18632/aging.101151
29615537	10.18632/aging.101407	2018	Kulminski AM	Strong impact of natural-selection-free heterogeneity in genetics of age-related phenotypes.	Aging (Albany NY)	https://pubmed.ncbi.nlm.nih.gov/29615537	https://doi.org/10.18632/aging.101407
31295725	10.18632/aging.102066	2019	Wang ZT	Genome-wide association study identifies CD1A associated with rate of increase in plasma neurofilament light in non-demented elders.	Aging (Albany NY)	https://pubmed.ncbi.nlm.nih.gov/31295725	https://doi.org/10.18632/aging.102066
31370031	10.18632/aging.102125	2019	Dou KX	Genome-wide association study identifies <i>CBFA2T3</i> affecting the rate of CSF Aβ<sub>42</sub> decline in non-demented elders.	Aging (Albany NY)	https://pubmed.ncbi.nlm.nih.gov/31370031	https://doi.org/10.18632/aging.102125
31711042	10.18632/aging.102435	2019	Li X	Genome-wide association study identifies <i>SIAH3</i> locus influencing the rate of ventricular enlargement in non-demented elders.	Aging (Albany NY)	https://pubmed.ncbi.nlm.nih.gov/31711042	https://doi.org/10.18632/aging.102435
31760383	10.18632/aging.102470	2019	Guo Y	Genome-wide association study of hippocampal atrophy rate in non-demented elders.	Aging (Albany NY)	https://pubmed.ncbi.nlm.nih.gov/31760383	https://doi.org/10.18632/aging.102470
32205469	10.18632/aging.102825	2020	Akcimen F	Genome-wide association study identifies genetic factors that modify age at onset in Machado-Joseph disease.	Aging (Albany NY)	https://pubmed.ncbi.nlm.nih.gov/32205469	https://doi.org/10.18632/aging.102825
32235003	10.18632/aging.102987	2020	Arbeev KG	Genetics of physiological dysregulation: findings from the long life family study using joint models.	Aging (Albany NY)	https://pubmed.ncbi.nlm.nih.gov/32235003	https://doi.org/10.18632/aging.102987
32897244	10.18632/aging.103396	2020	Zhang L	Identification of cardiovascular health gene variants related to longevity in a Chinese population.	Aging (Albany NY)	https://pubmed.ncbi.nlm.nih.gov/32897244	https://doi.org/10.18632/aging.103396
33232274	10.18632/aging.104198	2020	Mohammadnejad A	Generalized correlation coefficient for genome-wide association analysis of cognitive ability in twins.	Aging (Albany NY)	https://pubmed.ncbi.nlm.nih.gov/33232274	https://doi.org/10.18632/aging.104198
33891562	10.18632/aging.202903	2021	Hao Q	Age-related differences of genetic susceptibility to patients with acute lymphoblastic leukemia.	Aging (Albany NY)	https://pubmed.ncbi.nlm.nih.gov/33891562	https://doi.org/10.18632/aging.202903
34718232	10.18632/aging.203660	2021	Sun ED	Predicting physiological aging rates from a range of quantitative traits using machine learning.	Aging (Albany NY)	https://pubmed.ncbi.nlm.nih.gov/34718232	https://doi.org/10.18632/aging.203660
21418511	10.1111/j.1474-9726.2011.00705.x	2011	Deelen J	Genome-wide association study identifies a single major locus contributing to survival into old age; the APOE locus revisited.	Aging Cell	https://pubmed.ncbi.nlm.nih.gov/21418511	https://doi.org/10.1111/j.1474-9726.2011.00705.x
24863034	10.1111/acel.12228	2014	Urano T	Large-scale analysis reveals a functional single-nucleotide polymorphism in the 5'-flanking region of PRDM16 gene associated with lean body mass.	Aging Cell	https://pubmed.ncbi.nlm.nih.gov/24863034	https://doi.org/10.1111/acel.12228
27325353	10.1111/acel.12468	2016	Matteini AM	GWAS analysis of handgrip and lower body strength in older adults in the CHARGE consortium.	Aging Cell	https://pubmed.ncbi.nlm.nih.gov/27325353	https://doi.org/10.1111/acel.12468
33657282	10.1111/acel.13323	2021	Liu X	Integrated genetic analyses revealed novel human longevity loci and reduced risks of multiple diseases in a cohort study of 15,651 Chinese individuals.	Aging Cell	https://pubmed.ncbi.nlm.nih.gov/33657282	https://doi.org/10.1111/acel.13323
34038024	10.1111/acel.13376	2021	Kuo CL	Genetic associations for two biological age measures point to distinct aging phenotypes.	Aging Cell	https://pubmed.ncbi.nlm.nih.gov/34038024	https://doi.org/10.1111/acel.13376
20201924	10.1111/j.1530-0277.2010.01156.x	2010	Edenberg HJ	Genome-wide association study of alcohol dependence implicates a region on chromosome 11.	Alcohol Clin Exp Res	https://pubmed.ncbi.nlm.nih.gov/20201924	https://doi.org/10.1111/j.1530-0277.2010.01156.x
21314694	10.1111/j.1530-0277.2010.01427.x	2011	Kendler KS	Genomewide association analysis of symptoms of alcohol dependence in the molecular genetics of schizophrenia (MGS2) control sample.	Alcohol Clin Exp Res	https://pubmed.ncbi.nlm.nih.gov/21314694	https://doi.org/10.1111/j.1530-0277.2010.01427.x
23216389	10.1111/acer.12032	2012	Zuo L	Genome-wide significant association signals in IPO11-HTR1A region specific for alcohol and nicotine codependence.	Alcohol Clin Exp Res	https://pubmed.ncbi.nlm.nih.gov/23216389	https://doi.org/10.1111/acer.12032
24015780	10.1111/acer.12251	2013	Wetherill L	Family-based association analysis of alcohol dependence criteria and severity.	Alcohol Clin Exp Res	https://pubmed.ncbi.nlm.nih.gov/24015780	https://doi.org/10.1111/acer.12251
26146898	10.1111/acer.12790	2015	Clark SL	Combined Whole Methylome and Genomewide Association Study Implicates CNTN4 in Alcohol Use.	Alcohol Clin Exp Res	https://pubmed.ncbi.nlm.nih.gov/26146898	https://doi.org/10.1111/acer.12790
29460428	10.1111/acer.13614	2018	Gelernter J	Genomewide Association Study of Alcohol Dependence and Related Traits in a Thai Population.	Alcohol Clin Exp Res	https://pubmed.ncbi.nlm.nih.gov/29460428	https://doi.org/10.1111/acer.13614
30252935	10.1111/acer.13890	2018	Smith AH	Risk Locus Identification Ties Alcohol Withdrawal Symptoms to SORCS2.	Alcohol Clin Exp Res	https://pubmed.ncbi.nlm.nih.gov/30252935	https://doi.org/10.1111/acer.13890
30276832	10.1111/acer.13896	2018	Edwards AC	Meta-Analysis of Genetic Influences on Initial Alcohol Sensitivity.	Alcohol Clin Exp Res	https://pubmed.ncbi.nlm.nih.gov/30276832	https://doi.org/10.1111/acer.13896
30589442	10.1111/acer.13949	2018	Whitfield JB	Biomarker and Genomic Risk Factors for Liver Function Test Abnormality in Hazardous Drinkers.	Alcohol Clin Exp Res	https://pubmed.ncbi.nlm.nih.gov/30589442	https://doi.org/10.1111/acer.13949
31009096	10.1111/acer.14063	2019	Meda SA	Multivariate Analyses Reveal Biological Components Related to Neuronal Signaling and Immunity Mediating Electroencephalograms Abnormalities in Alcohol-Dependent Individuals from the Collaborative Study on the Genetics of Alcoholism Cohort.	Alcohol Clin Exp Res	https://pubmed.ncbi.nlm.nih.gov/31009096	https://doi.org/10.1111/acer.14063
32573827	10.1111/apt.15887	2020	Huang YH	Large-scale genome-wide association study identifies HLA class II variants associated with chronic HBV infection: a study from Taiwan Biobank.	Aliment Pharmacol Ther	https://pubmed.ncbi.nlm.nih.gov/32573827	https://doi.org/10.1111/apt.15887
35023183	10.1111/apt.16772	2022	Xia M	NAFLD-related gene polymorphisms and all-cause and cause-specific mortality in an Asian population: the Shanghai Changfeng Study.	Aliment Pharmacol Ther	https://pubmed.ncbi.nlm.nih.gov/35023183	https://doi.org/10.1111/apt.16772
31272903	10.1016/j.alit.2019.05.012	2019	Sunadome H	Correlation between eosinophil count, its genetic background and body mass index: The Nagahama Study.	Allergol Int	https://pubmed.ncbi.nlm.nih.gov/31272903	https://doi.org/10.1016/j.alit.2019.05.012
27439200	10.1111/all.12990	2016	Nieuwenhuis MA	Combining genomewide association study and lung eQTL analysis provides evidence for novel genes associated with asthma.	Allergy	https://pubmed.ncbi.nlm.nih.gov/27439200	https://doi.org/10.1111/all.12990
34022066	10.1111/all.14952	2021	Kim KW	Genome-wide association study identifies TNFSF15 associated with childhood asthma.	Allergy	https://pubmed.ncbi.nlm.nih.gov/34022066	https://doi.org/10.1111/all.14952
30088374	10.4168/aair.2018.10.5.555	2018	Park HW	The Fas Signaling Pathway Is a Common Genetic Risk Factor for Severe Cutaneous Drug Adverse Reactions Across Diverse Drugs.	Allergy Asthma Immunol Res	https://pubmed.ncbi.nlm.nih.gov/30088374	https://doi.org/10.4168/aair.2018.10.5.555
34212547	10.4168/aair.2021.13.4.609	2021	An J	Genome-Wide Association Study of Korean Asthmatics: A Comparison With UK Asthmatics.	Allergy Asthma Immunol Res	https://pubmed.ncbi.nlm.nih.gov/34212547	https://doi.org/10.4168/aair.2021.13.4.609
23535033	10.1016/j.jalz.2013.01.008	2013	Sherva R	Genome-wide association study of the rate of cognitive decline in Alzheimer's disease.	Alzheimers Dement	https://pubmed.ncbi.nlm.nih.gov/23535033	https://doi.org/10.1016/j.jalz.2013.01.008
27770636	10.1016/j.jalz.2016.09.002	2016	Mez J	Two novel loci, COBL and SLC10A2, for Alzheimer's disease in African Americans.	Alzheimers Dement	https://pubmed.ncbi.nlm.nih.gov/27770636	https://doi.org/10.1016/j.jalz.2016.09.002
28183528	10.1016/j.jalz.2016.12.012	2017	Jun GR	Transethnic genome-wide scan identifies novel Alzheimer's disease loci.	Alzheimers Dement	https://pubmed.ncbi.nlm.nih.gov/28183528	https://doi.org/10.1016/j.jalz.2016.12.012
29274321	10.1016/j.jalz.2017.11.006	2017	Chung J	Genome-wide association study of Alzheimer's disease endophenotypes at prediagnosis stages.	Alzheimers Dement	https://pubmed.ncbi.nlm.nih.gov/29274321	https://doi.org/10.1016/j.jalz.2017.11.006
29360470	10.1016/j.jalz.2017.12.004	2018	Miron J	CDK5RAP2 gene and tau pathophysiology in late-onset sporadic Alzheimer's disease.	Alzheimers Dement	https://pubmed.ncbi.nlm.nih.gov/29360470	https://doi.org/10.1016/j.jalz.2017.12.004
32573913	10.1002/alz.12106	2020	Sherva R	Genome-wide association study of rate of cognitive decline in Alzheimer's disease patients identifies novel genes and pathways.	Alzheimers Dement	https://pubmed.ncbi.nlm.nih.gov/32573913	https://doi.org/10.1002/alz.12106
32588970	10.1002/alz.12128	2020	Lutz MW	Shared genetic etiology underlying late-onset Alzheimer's disease and posttraumatic stress syndrome.	Alzheimers Dement	https://pubmed.ncbi.nlm.nih.gov/32588970	https://doi.org/10.1002/alz.12128
34002480	10.1002/alz.12333	2021	Damotte V	Plasma amyloid β levels are driven by genetic variants near APOE, BACE1, APP, PSEN2: A genome-wide association study in over 12,000 non-demented participants.	Alzheimers Dement	https://pubmed.ncbi.nlm.nih.gov/34002480	https://doi.org/10.1002/alz.12333
28560309	10.1016/j.dadm.2017.04.004	2017	Lee E	Single-nucleotide polymorphisms are associated with cognitive decline at Alzheimer's disease conversion within mild cognitive impairment patients.	Alzheimers Dement (Amst)	https://pubmed.ncbi.nlm.nih.gov/28560309	https://doi.org/10.1016/j.dadm.2017.04.004
29458411	10.1186/s13195-018-0349-z	2018	Chung J	Genome-wide pleiotropy analysis of neuropathological traits related to Alzheimer's disease.	Alzheimers Res Ther	https://pubmed.ncbi.nlm.nih.gov/29458411	https://doi.org/10.1186/s13195-018-0349-z
30153862	10.1186/s13195-018-0410-y	2018	Maxwell TJ	Genome-wide association study for variants that modulate relationships between cerebrospinal fluid amyloid-beta 42, tau, and p-tau levels.	Alzheimers Res Ther	https://pubmed.ncbi.nlm.nih.gov/30153862	https://doi.org/10.1186/s13195-018-0410-y
30636644	10.1186/s13195-018-0458-8	2019	Nazarian A	Genome-wide analysis of genetic predisposition to Alzheimer's disease and related sex disparities.	Alzheimers Res Ther	https://pubmed.ncbi.nlm.nih.gov/30636644	https://doi.org/10.1186/s13195-018-0458-8
33541420	10.1186/s13195-021-00773-z	2021	Bone WP	Multi-trait association studies discover pleiotropic loci between Alzheimer's disease and cardiometabolic traits.	Alzheimers Res Ther	https://pubmed.ncbi.nlm.nih.gov/33541420	https://doi.org/10.1186/s13195-021-00773-z
34154648	10.1186/s13195-021-00854-z	2021	Kim HR	Identifying novel genetic variants for brain amyloid deposition: a genome-wide association study in the Korean population.	Alzheimers Res Ther	https://pubmed.ncbi.nlm.nih.gov/34154648	https://doi.org/10.1186/s13195-021-00854-z
24952865	10.1016/j.ahj.2014.03.010	2014	Akerblom A	Polymorphism of the cystatin C gene in patients with acute coronary syndromes: Results from the PLATelet inhibition and patient Outcomes study.	Am Heart J	https://pubmed.ncbi.nlm.nih.gov/24952865	https://doi.org/10.1016/j.ahj.2014.03.010
26385043	10.1016/j.ahj.2015.06.009	2015	Kertai MD	Genome-wide association study of new-onset atrial fibrillation after coronary artery bypass grafting surgery.	Am Heart J	https://pubmed.ncbi.nlm.nih.gov/26385043	https://doi.org/10.1016/j.ahj.2015.06.009
27179730	10.1016/j.ahj.2015.12.022	2016	Allen NB	Genetic loci associated with ideal cardiovascular health: A meta-analysis of genome-wide association studies.	Am Heart J	https://pubmed.ncbi.nlm.nih.gov/27179730	https://doi.org/10.1016/j.ahj.2015.12.022
25015694	10.1016/j.amjcard.2014.05.040	2014	Kolek MJ	A genome-wide association study to identify genomic modulators of rate control therapy in patients with atrial fibrillation.	Am J Cardiol	https://pubmed.ncbi.nlm.nih.gov/25015694	https://doi.org/10.1016/j.amjcard.2014.05.040
21270382	10.3945/ajcn.110.001776	2011	Baik I	Genome-wide association studies identify genetic loci related to alcohol consumption in Korean men.	Am J Clin Nutr	https://pubmed.ncbi.nlm.nih.gov/21270382	https://doi.org/10.3945/ajcn.110.001776
23364009	10.3945/ajcn.112.046482	2013	Yang X	Common variants at 12q24 are associated with drinking behavior in Han Chinese.	Am J Clin Nutr	https://pubmed.ncbi.nlm.nih.gov/23364009	https://doi.org/10.3945/ajcn.112.046482
23636237	10.3945/ajcn.112.052183	2013	Tanaka T	Genome-wide meta-analysis of observational studies shows common genetic variants associated with macronutrient intake.	Am J Clin Nutr	https://pubmed.ncbi.nlm.nih.gov/23636237	https://doi.org/10.3945/ajcn.112.052183
23824729	10.3945/ajcn.112.044545	2013	van Meurs JB	Common genetic loci influencing plasma homocysteine concentrations and their effect on risk of coronary artery disease.	Am J Clin Nutr	https://pubmed.ncbi.nlm.nih.gov/23824729	https://doi.org/10.3945/ajcn.112.044545
24740207	10.3945/ajcn.113.080309	2014	Moy KA	Genome-wide association study of circulating vitamin D-binding protein.	Am J Clin Nutr	https://pubmed.ncbi.nlm.nih.gov/24740207	https://doi.org/10.3945/ajcn.113.080309
25411281	10.3945/ajcn.114.093146	2014	Dashti HS	Meta-analysis of genome-wide association studies for circulating phylloquinone concentrations.	Am J Clin Nutr	https://pubmed.ncbi.nlm.nih.gov/25411281	https://doi.org/10.3945/ajcn.114.093146
25646338	10.3945/ajcn.114.094557	2014	Mozaffarian D	Genetic loci associated with circulating phospholipid trans fatty acids: a meta-analysis of genome-wide association studies from the CHARGE Consortium.	Am J Clin Nutr	https://pubmed.ncbi.nlm.nih.gov/25646338	https://doi.org/10.3945/ajcn.114.094557
30339177	10.1093/ajcn/nqy209	2018	Shane B	The 677C→T variant of MTHFR is the major genetic modifier of biomarkers of folate status in a young, healthy Irish population.	Am J Clin Nutr	https://pubmed.ncbi.nlm.nih.gov/30339177	https://doi.org/10.1093/ajcn/nqy209
31005965	10.1093/ajcn/nqz038	2019	Coltell O	Association between taste perception and adiposity in overweight or obese older subjects with metabolic syndrome and identification of novel taste-related genes.	Am J Clin Nutr	https://pubmed.ncbi.nlm.nih.gov/31005965	https://doi.org/10.1093/ajcn/nqz038
31005972	10.1093/ajcn/nqz043	2019	Hwang LD	New insight into human sweet taste: a genome-wide association study of the perception and intake of sweet substances.	Am J Clin Nutr	https://pubmed.ncbi.nlm.nih.gov/31005972	https://doi.org/10.1093/ajcn/nqz043
31190057	10.1093/ajcn/nqz076	2019	Dashti HS	Genome-wide association study of breakfast skipping links clock regulation with food timing.	Am J Clin Nutr	https://pubmed.ncbi.nlm.nih.gov/31190057	https://doi.org/10.1093/ajcn/nqz076
30698716	10.1093/aje/kwz005	2019	de Vries PS	Multiancestry Genome-Wide Association Study of Lipid Levels Incorporating Gene-Alcohol Interactions.	Am J Epidemiol	https://pubmed.ncbi.nlm.nih.gov/30698716	https://doi.org/10.1093/aje/kwz005
32700739	10.1093/aje/kwaa144	2020	Salinas YD	Discovery and Mediation Analysis of Cross-Phenotype Associations Between Asthma and Body Mass Index in 12q13.2.	Am J Epidemiol	https://pubmed.ncbi.nlm.nih.gov/32700739	https://doi.org/10.1093/aje/kwaa144
24797007	10.1038/ajg.2014.56	2014	Holliday EG	Genome-wide association study identifies two novel genomic regions in irritable bowel syndrome.	Am J Gastroenterol	https://pubmed.ncbi.nlm.nih.gov/24797007	https://doi.org/10.1038/ajg.2014.56
20029952	10.1002/ajh.21572	2009	Sebastiani P	Genetic modifiers of the severity of sickle cell anemia identified through a genome-wide association study.	Am J Hematol	https://pubmed.ncbi.nlm.nih.gov/20029952	https://doi.org/10.1002/ajh.21572
22388998	10.1002/ajh.23118	2012	Zhang CK	Genome-wide association study of N370S homozygous Gaucher disease reveals the candidacy of CLN8 gene as a genetic modifier contributing to extreme phenotypic variation.	Am J Hematol	https://pubmed.ncbi.nlm.nih.gov/22388998	https://doi.org/10.1002/ajh.23118
25042611	10.1002/ajh.23811	2014	Griffin PJ	The genetics of hemoglobin A2 regulation in sickle cell anemia.	Am J Hematol	https://pubmed.ncbi.nlm.nih.gov/25042611	https://doi.org/10.1002/ajh.23811
16252231	10.1086/496902	2005	Maraganore DM	High-resolution whole-genome association study of Parkinson disease.	Am J Hum Genet	https://pubmed.ncbi.nlm.nih.gov/16252231	https://doi.org/10.1086/496902
17357082	10.1086/513320	2007	Melquist S	Identification of a novel risk locus for progressive supranuclear palsy by a pooled genomewide scan of 500,288 single-nucleotide polymorphisms.	Am J Hum Genet	https://pubmed.ncbi.nlm.nih.gov/17357082	https://doi.org/10.1086/513320
17668382	10.1086/520599	2007	Salonen JT	Type 2 diabetes whole-genome association study in four populations: the DiaGen consortium.	Am J Hum Genet	https://pubmed.ncbi.nlm.nih.gov/17668382	https://doi.org/10.1086/520599
17999355	10.1086/522235	2007	Stokowski RP	A genomewide association study of skin pigmentation in a South Asian population.	Am J Hum Genet	https://pubmed.ncbi.nlm.nih.gov/17999355	https://doi.org/10.1086/522235
18179892	10.1016/j.ajhg.2007.11.001	2008	Wallace C	Genome-wide association study identifies genes for biomarkers of cardiovascular disease: serum urate and dyslipidemia.	Am J Hum Genet	https://pubmed.ncbi.nlm.nih.gov/18179892	https://doi.org/10.1016/j.ajhg.2007.11.001
18252221	10.1016/j.ajhg.2007.10.003	2008	Kayser M	Three genome-wide association studies and a linkage analysis identify HERC2 as a human iris color gene.	Am J Hum Genet	https://pubmed.ncbi.nlm.nih.gov/18252221	https://doi.org/10.1016/j.ajhg.2007.10.003
18439548	10.1016/j.ajhg.2008.03.015	2008	Ridker PM	Loci related to metabolic-syndrome pathways including LEPR,HNF1A, IL6R, and GCKR associate with plasma C-reactive protein: the Women's Genome Health Study.	Am J Hum Genet	https://pubmed.ncbi.nlm.nih.gov/18439548	https://doi.org/10.1016/j.ajhg.2008.03.015
