ISSN (Online)	ISSN (Print)	JournalTitle	JrId	MedAbbr	NlmId
 2469-1119	 0300-9033	 Acta gastroenterologica Latinoamericana	 70	 Acta Gastroenterol Latinoam	 0261505
	 0567-7440	 Acta genetica et statistica medica	 71	 Acta Genet Stat Med	 0200600
	 0001-5660	 Acta geneticae medicae et gemellologiae	 72	 Acta Genet Med Gemellol (Roma)	 0370314
	 0001-5741	 Acta gerontologica	 73	 Acta Gerontol (Milano)	 7501996
	 0001-5776	 Acta ginecologica	 74	 Acta Ginecol (Madr)	 0370317
	 0001-5784	 Acta gynaecologica et obstetrica Hispano-Lusitana	 75	 Acta Gynaecol Obstet Hisp Lusit	 0147664
 1421-9662	 0001-5792	 Acta haematologica	 76	 Acta Haematol	 0141053
	 0001-5806	 Nihon Ketsueki Gakkai zasshi : journal of Japan Haematological Society	 77	 Nihon Ketsueki Gakkai Zasshi	 2984803R
 2300-7117	 0001-5814	 Acta haematologica Polonica	 78	 Acta Haematol Pol	 0262610
	 0300-970X	 Acta hepato-gastroenterologica	 79	 Acta Hepatogastroenterol (Stuttg)	 0340734
	 0065-1311	 Acta historica scientiarum naturalium et medicinalium	 80	 Acta Hist Sci Nat Med	 0416660
 1618-0372	 0065-1281	 Acta histochemica	 81	 Acta Histochem	 0370320
	 0001-589X	 Acta iberica radiologica-cancerologica	 82	 Acta Iber Radiol Cancerol	 0370321
	 0001-5911	 Acta isotopica	 83	 Acta Isot (Padova)	 0421025
	 0065-1362	 Acta Leidensia	 84	 Acta Leiden	 0413650
	 0076-597X	 Igaku kenkyu. Acta medica	 85	 Igaku Kenkyu	 0421144
	 0001-5989	 Acta medica Academiae Scientiarum Hungaricae	 86	 Acta Med Acad Sci Hung	 0370323
 1563-2571	 0303-8173	 Acta medica Austriaca	 87	 Acta Med Austriaca	 7501997
	 0303-8181	 Acta medica Austriaca. Supplement	 88	 Acta Med Austriaca Suppl	 7502262
	 0254-0819	 Acute care	 89	 Acute Care	 8412026
	 0567-7734	 Acta medica et biologica	 90	 Acta Med Biol (Niigata)	 0243663
	 0831-7445	 Perspectives (Gerontological Nursing Association (Canada))	 91	 Perspectives	 8500942
	 0001-6039	 Acta medica Italica di medicina tropicale e subtropicale e di gastroenterologia	 92	 Acta Med Ital Med Trop Subtrop Gastroenterol	 14540080R
	 0375-8338	 Acta medica Iugoslavica	 93	 Acta Med Iugosl	 0370324
	 0065-1397	 Acta medicinae legalis et socialis	 94	 Acta Med Leg Soc (Liege)	 7611894
	 0001-6055	 Acta medica Nagasakiensia	 95	 Acta Med Nagasaki	 0372633
	 0270-2304	 Family practice research journal	 96	 Fam Pract Res J	 8208228
	 0257-2788	 Fetal therapy	 97	 Fetal Ther	 8700083
 1473-0766	 0951-3590	 Gynecological endocrinology : the official journal of the International Society of Gynecological Endocrinology	 98	 Gynecol Endocrinol	 8807913
 1873-474X	 0736-5748	 International journal of developmental neuroscience : the official journal of the International Society for Developmental Neuroscience	 99	 Int J Dev Neurosci	 8401784
 1544-8770	 0893-8652	 The Journal of the American Board of Family Practice	 100	 J Am Board Fam Pract	 8807505
 1724-6083	 0393-974X	 Journal of biological regulators and homeostatic agents	 101	 J Biol Regul Homeost Agents	 8809253
	 0884-3996	 Journal of bioluminescence and chemiluminescence	 102	 J Biolumin Chemilumin	 8612490
	 0386-300X	 Acta medica Okayama	 103	 Acta Med Okayama	 0417611
 1523-4681	 0884-0431	 Journal of bone and mineral research : the official journal of the American Society for Bone and Mineral Research	 104	 J Bone Miner Res	 8610640
 2094-9278	 0001-6071	 Acta medica Philippina	 105	 Acta Med Philipp	 0312677
	 0001-608X	 Acta medica Polona	 106	 Acta Med Pol	 0370326
 1646-0758	 0870-399X	 Acta medica portuguesa	 107	 Acta Med Port	 7906803
	 0001-6101	 Acta medica Scandinavica	 108	 Acta Med Scand	 0370330
	 0365-463X	 Acta medica Scandinavica. Supplementum	 109	 Acta Med Scand Suppl	 0370331
	 0001-6136	 Acta medica veterinaria	 110	 Acta Med Vet (Napoli)	 0000212
	 0001-6187	 Acta microbiologica Academiae Scientiarum Hungaricae	 111	 Acta Microbiol Acad Sci Hung	 0370333
 2603-3755	 0204-8809	 Acta microbiologica Bulgarica	 112	 Acta Microbiol Bulg	 7901426
	 0137-1320	 Acta microbiologica Polonica	 113	 Acta Microbiol Pol	 7610362
	 0567-7815	 Acta microbiologica Polonica. Series A: Microbiologia generalis	 114	 Acta Microbiol Pol A	 7610360
	 0567-7823	 Acta microbiologica Polonica. Series B: Microbiologia applicata	 115	 Acta Microbiol Pol B	 7610361
	 0001-6217	 Acta morphologica Academiae Scientiarum Hungaricae	 116	 Acta Morphol Acad Sci Hung	 0370334
	 0324-0452	 Acta microbiologica, virologica et immunologica	 118	 Acta Microbiol Virol Immunol (Sofiia)	 7600027
	 0236-5391	 Acta morphologica Hungarica	 119	 Acta Morphol Hung	 8307964
	 0001-6225	 Acta morphologica Neerlando-Scandinavica	 120	 Acta Morphol Neerl Scand	 0370335
 1689-0035	 0065-1400	 Acta neurobiologiae experimentalis	 121	 Acta Neurobiol Exp (Wars)	 1246675
 0942-0940	 0001-6268	 Acta neurochirurgica	 122	 Acta Neurochir (Wien)	 0151000
		 Acta neurochirurgica. Supplementum	 123	 Acta Neurochir Suppl (Wien)	 0140560
	 0001-6276	 Acta neurologica	 124	 Acta Neurol (Napoli)	 0421100
	 0250-4642	 Acta rhumatologica	 125	 Acta Rhumatol	 7908064
	 0001-5938	 Acta leprologica	 126	 Acta Leprol	 0037353
	 0231-4622	 Acta microbiologica Hungarica	 127	 Acta Microbiol Hung	 8400270
 2240-2993	 0300-9009	 Acta neurologica Belgica	 128	 Acta Neurol Belg	 0247035
	 0001-6306	 Acta neurologica latinoamericana	 129	 Acta Neurol Latinoam	 9421556
	 0515-2976	 Acta neurologica. Quaderni	 130	 Acta Neurol Quad (Napoli)	 7506814
 1600-0404	 0001-6314	 Acta neurologica Scandinavica	 131	 Acta Neurol Scand	 0370336
 1600-5449	 0065-1427	 Acta neurologica Scandinavica. Supplementum	 132	 Acta Neurol Scand Suppl	 0370337
 1432-0533	 0001-6322	 Acta neuropathologica	 133	 Acta Neuropathol	 0412041
	 0065-1435	 Acta neuropathologica. Supplementum	 134	 Acta Neuropathol Suppl	 0370342
	 0375-9245	 Acta neurovegetativa	 135	 Acta Neuroveg (Wien)	 0162324
	 0210-9832	 Acta obstetrica y ginecologica hispano-lusitana	 136	 Acta Obstet Ginecol Hisp Lusit	 0147634
	 0300-8940	 Acta obstetrica y ginecologica hispano-lusitana. Suplemento	 137	 Acta Obstet Ginecol Hisp Lusit Suppl	 0221541
	 0001-6330	 Acta obstetrica et gynaecologica Japonica	 138	 Acta Obstet Gynaecol Jpn	 0202673
 1600-0412	 0001-6349	 Acta obstetricia et gynecologica Scandinavica	 139	 Acta Obstet Gynecol Scand	 0370343
	 0300-8835	 Acta obstetricia et gynecologica Scandinavica. Supplement	 140	 Acta Obstet Gynecol Scand Suppl	 0337655
 1502-3850	 0001-6357	 Acta odontologica Scandinavica	 141	 Acta Odontol Scand	 0370344
	 0365-530X	 Acta odontologica Scandinavica. Supplementum	 142	 Acta Odontol Scand Suppl	 0370345
	 0001-6365	 Acta odontologica venezolana	 143	 Acta Odontol Venez	 14540210R
	 0001-6381	 Acta oncologica	 144	 Acta Oncol (Madr)	 0370346
	 0001-639X	 Acta ophthalmologica	 145	 Acta Ophthalmol (Copenh)	 0370347
	 0065-1451	 Acta ophthalmologica. Supplementum	 146	 Acta Ophthalmol Suppl	 0370350
	 0001-6462	 Acta orthopaedica Belgica	 147	 Acta Orthop Belg	 2985165R
	 0001-6470	 Acta orthopaedica Scandinavica	 148	 Acta Orthop Scand	 0370352
	 0300-8827	 Acta orthopaedica Scandinavica. Supplementum	 149	 Acta Orthop Scand Suppl	 0370353
 1651-2251	 0001-6489	 Acta oto-laryngologica	 150	 Acta Otolaryngol	 0370354
	 0365-5237	 Acta oto-laryngologica. Supplementum	 151	 Acta Otolaryngol Suppl	 0370355
	 0001-6497	 Acta oto-rhino-laryngologica Belgica	 152	 Acta Otorhinolaryngol Belg	 0373057
 1827-675X	 0392-100X	 Acta otorhinolaryngologica Italica : organo ufficiale della Societa italiana di otorinolaringologia e chirurgia cervico-facciale	 153	 Acta Otorhinolaryngol Ital	 8213019
	 0001-6500	 Acta oto-rino-laringologica ibero-americana	 154	 Acta Otorinolaryngol Iber Am	 7610363
	 0001-6527	 Acta paediatrica Academiae Scientiarum Hungaricae	 155	 Acta Paediatr Acad Sci Hung	 0372634
	 0001-6535	 Acta paediatrica Belgica	 156	 Acta Paediatr Belg	 0372635
	 0001-6543	 Nihon Shonika Gakkai zasshi. Acta paediatrica Japonica	 157	 Nihon Shonika Gakkai Zasshi	 0413547
	 0374-5600	 Acta paediatrica Japonica : Overseas edition	 158	 Acta Paediatr Jpn	 0370357
	 0001-656X	 Acta paediatrica Scandinavica	 159	 Acta Paediatr Scand	 0000211
	 0300-8843	 Acta paediatrica Scandinavica. Supplement	 160	 Acta Paediatr Scand Suppl	 0173166
	 0001-6578	 Zhonghua Minguo xiao er ke yi xue hui za zhi [Journal]. Zhonghua Minguo xiao er ke yi xue hui	 161	 Zhonghua Min Guo Xiao Er Ke Yi Xue Hui Za Zhi	 16210470R
	 0001-6586	 Acta paedopsychiatrica	 162	 Acta Paedopsychiatr	 0400661
	 0080-9012	 Series paedopsychiatrica	 163	 Ser Paedopsychiatr	 0036662
	 0001-6632	 Acta pathologica japonica	 164	 Acta Pathol Jpn	 0372637
	 0365-5555	 Acta pathologica et microbiologica Scandinavica	 165	 Acta Pathol Microbiol Scand	 7508471
	 0365-4184	 Acta pathologica et microbiologica Scandinavica. Section A, Pathology	 166	 Acta Pathol Microbiol Scand A	 7508468
	 0105-0656	 Acta pathologica et microbiologica Scandinavica. Section B, Microbiology	 167	 Acta Pathol Microbiol Scand B	 7508472
	 0304-1328	 Acta pathologica et microbiologica Scandinavica. Section C, Immunology	 168	 Acta Pathol Microbiol Scand C	 7508469
		 Acta pathologica et microbiologica Scandinavica. Supplement	 169	 Acta Pathol Microbiol Scand Suppl	 8211440
	 0108-0172	 Acta pathologica, microbiologica, et immunologica Scandinavica. Supplement	 170	 Acta Pathol Microbiol Immunol Scand Suppl	 8211441
 2014-2986	 0001-6640	 Acta pediatrica espanola	 171	 Acta Pediatr Esp	 0405466
	 0108-0164	 Acta pathologica, microbiologica, et immunologica Scandinavica. Section A, Pathology	 172	 Acta Pathol Microbiol Immunol Scand A	 8206622
	 0108-0180	 Acta pathologica, microbiologica, et immunologica Scandinavica. Section B, Microbiology	 173	 Acta Pathol Microbiol Immunol Scand B	 8206623
	 0108-0202	 Acta pathologica, microbiologica, et immunologica Scandinavica. Section C, Immunology	 174	 Acta Pathol Microbiol Immunol Scand C	 8206624
	 0001-6659	 Acta pharmaceutica Hungarica	 175	 Acta Pharm Hung	 0414322
	 0253-9756	 Zhongguo yao li xue bao = Acta pharmacologica Sinica	 176	 Zhongguo Yao Li Xue Bao	 8100330
	 0513-4870	 Yao xue xue bao = Acta pharmaceutica Sinica	 177	 Yao Xue Xue Bao	 21710340R
	 0001-6675	 Acta pharmaceutica Suecica	 178	 Acta Pharm Suec	 0000216
	 0001-6683	 Acta pharmacologica et toxicologica	 179	 Acta Pharmacol Toxicol (Copenh)	 0370572
	 0001-6756	 Acta physiologica Academiae Scientiarum Hungaricae	 180	 Acta Physiol Acad Sci Hung	 0371156
 1588-2683	 0231-424X	 Acta physiologica Hungarica	 181	 Acta Physiol Hung	 8309201
	 0001-6764	 Acta physiologica latino americana	 182	 Acta Physiol Lat Am	 0060610
	 0323-9950	 Acta physiologica et pharmacologica Bulgarica	 183	 Acta Physiol Pharmacol Bulg	 7512568
	 0326-6656	 Acta physiologica et pharmacologica latinoamericana : organo de la Asociacion Latinoamericana de Ciencias Fisiologicas y de la Asociacion Latinoamericana de Farmacologia	 184	 Acta Physiol Pharmacol Latinoam	 8409686
	 0001-6748	 Acta physiologica et pharmacologica Neerlandica	 185	 Acta Physiol Pharmacol Neerl	 14610130R
	 0044-6033	 Acta physiologica Polonica	 186	 Acta Physiol Pol	 2985166R
 1365-201X	 0001-6772	 Acta physiologica Scandinavica	 187	 Acta Physiol Scand	 0370362
	 0302-2994	 Acta physiologica Scandinavica. Supplementum	 188	 Acta Physiol Scand Suppl	 0376307
	 0001-6837	 Acta poloniae pharmaceutica	 189	 Acta Pol Pharm	 2985167R
	 0001-6896	 Acta psiquiatrica y psicologica de America latina	 190	 Acta Psiquiatr Psicol Am Lat	 0373060
	 0300-8967	 Acta psychiatrica Belgica	 191	 Acta Psychiatr Belg	 0247037
 1600-0447	 0001-690X	 Acta psychiatrica Scandinavica	 192	 Acta Psychiatr Scand	 0370364
 1600-5473	 0065-1591	 Acta psychiatrica Scandinavica. Supplementum	 193	 Acta Psychiatr Scand Suppl	 0370365
 1873-6297	 0001-6918	 Acta psychologica	 194	 Acta Psychol (Amst)	 0370366
	 0378-9497	 Acta rhumatologica Belgica	 195	 Acta Rhumatol Belg	 7903226
	 0567-8056	 Acta radiologica: diagnosis	 196	 Acta Radiol Diagn (Stockh)	 0370367
	 0365-5954	 Acta radiologica. Supplementum	 197	 Acta Radiol Suppl	 0370370
	 0567-8064	 Acta radiologica: therapy, physics, biology	 198	 Acta Radiol Ther Phys Biol	 0000201
	 0348-5196	 Acta radiologica: oncology, radiation, physics, biology	 199	 Acta Radiol Oncol Radiat Phys Biol	 7805897
	 0349-652X	 Acta radiologica. Oncology	 200	 Acta Radiol Oncol	 8209606
 1735-9694	 0044-6025	 Acta medica Iranica	 201	 Acta Med Iran	 14540050R
	 0001-6934	 Acta rheumatologica Scandinavica	 202	 Acta Rheumatol Scand	 0321403
	 0001-6950	 Acta Scholae Medicinalis Universitatis in Kioto	 203	 Acta Sch Med Univ Kioto	 7611898
	 0001-6985	 Acta Societatis Medicorum Upsaliensis	 204	 Acta Soc Med Ups	 0332127
	 0255-4410	 Acta stomatologica internationalia : revue scientifique et bulletin officiel de l'Association stomatologique internationale	 205	 Acta Stomatol Int	 8807267
	 0029-0203	 Nippon Ganka Gakkai zasshi	 206	 Nippon Ganka Gakkai Zasshi	 7505716
	 0044-6041	 Acta socio-medica Scandinavica	 207	 Acta Sociomed Scand	 2985168R
	 0001-7000	 Acta stomatologica Belgica	 208	 Acta Stomatol Belg	 0421026
 1846-0410	 0001-7019	 Acta stomatologica Croatica	 209	 Acta Stomatol Croat	 0253456
 2190-3743	 0001-7051	 Acta theriologica	 210	 Acta Theriol (Warsz)	 0314001
 1873-6254	 0001-706X	 Acta tropica	 211	 Acta Trop	 0370374
	 0365-1541	 Acta tropica. Supplementum	 212	 Acta Trop Suppl	 7611896
	 0001-7078	 Acta tuberculosea et pneumologica Belgica	 213	 Acta Tuberc Pneumol Belg	 0370376
	 0567-8161	 Acta tuberculosea Japonica	 214	 Acta Tuberc Jpn	 0157725
	 0365-7531	 Acta tuberculosea et pneumologica Scandinavica	 215	 Acta Tuberc Pneumol Scand	 0064362
	 0001-7116	 Acta Universitatis Carolinae. Medica	 216	 Acta Univ Carol Med (Praha)	 2985169R
	 0567-8250	 Acta Universitatis Carolinae. Medica. Monographia	 217	 Acta Univ Carol Med Monogr	 0177667
	 0001-7183	 Acta urologica Belgica	 218	 Acta Urol Belg	 0377045
	 0018-1994	 Hinyokika kiyo. Acta urologica Japonica	 219	 Hinyokika Kiyo	 0421145
	 0001-7205	 Acta veterinaria Academiae Scientiarum Hungaricae	 220	 Acta Vet Acad Sci Hung	 0370377
	 0236-6290	 Acta veterinaria Hungarica	 221	 Acta Vet Hung	 8406376
 1751-0147	 0044-605X	 Acta veterinaria Scandinavica	 222	 Acta Vet Scand	 0370400
	 0065-1699	 Acta veterinaria Scandinavica. Supplementum	 223	 Acta Vet Scand Suppl	 0061331
 1336-2305	 0001-723X	 Acta virologica	 224	 Acta Virol	 0370401
	 0300-8924	 Acta vitaminologica et enzymologica	 225	 Acta Vitaminol Enzymol	 0135063
	 0001-7280	 Acta zoologica et pathologica Antverpiensia	 226	 Acta Zool Pathol Antverp	 0100314
	 0331-0175	 The African journal of psychiatry	 228	 Afr J Psychiatry	 7802295
 1578-2190	 0001-7310	 Actas dermo-sifiliograficas	 229	 Actas Dermosifiliogr	 0373062
 1699-7980	 0210-4806	 Actas urologicas espanolas	 230	 Actas Urol Esp	 7704993
	 0301-2514	 Acta Universitatis Palackianae Olomucensis Facultatis Medicae	 231	 Acta Univ Palacki Olomuc Fac Med	 0363112
	 0300-5062	 Actas luso-espanolas de neurologia, psiquiatria y ciencias afines	 232	 Actas Luso Esp Neurol Psiquiatr Cienc Afines	 0355573
	 0001-7329	 Actas luso-espanolas de neurologia y psiquiatria	 234	 Actas Luso Esp Neurol Psiquiatr	 0355646
	 0365-1045	 Actualites cardiologiques et angeiologiques internationales	 235	 Actual Cardiol Angeiol Int (Paris)	 0143027
	 0065-1826	 Actualites endocrinologiques	 236	 Actual Endocrinol (Paris)	 0370405
	 0240-8007	 Actualites hepato-gastro-enterologiques	 237	 Actual Hepatogastroenterol (Paris)	 0264367
	 0567-882X	 Actualites neurophysiologiques	 238	 Actual Neurophysiol (Paris)	 7513548
 1760-611X	 0001-7817	 Actualites odonto-stomatologiques	 239	 Actual Odontostomatol (Paris)	 0370406
	 0001-7671	 Actualidad pediatrica; revista de bibliografia internacional	 240	 Actual Pediatr (Granada)	 2985171R
	 0567-8854	 Actualites pharmacologiques	 241	 Actual Pharmacol (Paris)	 0370407
	 0360-1293	 Acupuncture & electro-therapeutics research	 242	 Acupunct Electrother Res	 7610364
	 0567-8714	 Actualites de physiologie pathologique	 243	 Actual Physiol Pathol (Paris)	 7611901
 1873-6327	 0306-4603	 Addictive behaviors	 244	 Addict Behav	 7603486
 1933-3889	 0147-3956	 Advance data	 245	 Adv Data	 7703830
		 ADM; revista de la Asociacion Dental Mexicana	 246	 ADM	 0370411
 1544-4376	 0364-3107	 Administration in social work	 247	 Adm Soc Work	 7800009
	 0094-0267	 Addictive diseases	 248	 Addict Dis	 0425064
	 0001-8392	 Administrative science quarterly	 249	 Adm Sci Q	 0240207
	 0001-8449	 Adolescence	 250	 Adolescence	 0123667
	 0001-8481	 Adult education	 251	 Adult Educ	 9877760
	 0301-5556	 Advances in anatomy, embryology, and cell biology	 252	 Adv Anat Embryol Cell Biol	 0407712
	 0065-2164	 Advances in applied microbiology	 253	 Adv Appl Microbiol	 0370413
	 0090-1180	 Administration in mental health	 254	 Adm Ment Health	 0361564
	 0065-2229	 Advances in biochemical psychopharmacology	 255	 Adv Biochem Psychopharmacol	 0211233
	 0065-2245	 Advances in biological and medical physics	 256	 Adv Biol Med Phys	 0370414
	 0148-2165	 Lifelong learning, the adult years	 257	 Lifelong Learn Adult Years	 9877808
 1616-8542	 0724-6145	 Advances in biochemical engineering/biotechnology	 258	 Adv Biochem Eng Biotechnol	 8307733
	 0065-2253	 Advances in biology of skin	 259	 Adv Biol Skin	 0426664
	 0065-2261	 Advances in biomedical engineering and medical physics	 260	 Adv Biomed Eng Med Phys	 7611904
 1873-4618	 0065-227X	 Advances in biophysics	 261	 Adv Biophys	 0262476
 2162-5557	 0065-230X	 Advances in cancer research	 262	 Adv Cancer Res	 0370416
 2162-5530	 0065-2318	 Advances in carbohydrate chemistry and biochemistry	 263	 Adv Carbohydr Chem Biochem	 0240537
 1662-2839	 0065-2326	 Advances in cardiology	 264	 Adv Cardiol	 0270063
	 0065-2334	 Advances in cardiopulmonary diseases	 265	 Adv Cardiopulm Dis	 14630130R
	 0065-2369	 Advances in cell biology	 266	 Adv Cell Biol	 0235424
	 0567-9877	 Advances in chemotherapy	 267	 Adv Chemother	 0236562
	 0065-2407	 Advances in child development and behavior	 268	 Adv Child Dev Behav	 0370417
	 0267-4874	 Advances in contraception : the official journal of the Society for the Advancement of Contraception	 269	 Adv Contracept	 8607435
	 0065-2415	 Advances in chromatography	 270	 Adv Chromatogr	 0121020
 2162-9471	 0065-2423	 Advances in clinical chemistry	 271	 Adv Clin Chem	 2985173R
	 0303-2671	 Advances in clinical pharmacology	 272	 Adv Clin Pharmacol	 0430232
	 0065-244X	 Advances in comparative physiology and biochemistry	 273	 Adv Comp Physiol Biochem	 0370422
	 0747-7767	 Advances in cyclic nucleotide and protein phosphorylation research	 274	 Adv Cyclic Nucleotide Protein Phosphorylation Res	 8404639
	 0084-5930	 Advances in cyclic nucleotide research	 275	 Adv Cyclic Nucleotide Res	 0341362
	 0084-5949	 Advances in cytopharmacology	 276	 Adv Cytopharmacol	 1301733
	 0065-2490	 Advances in drug research	 277	 Adv Drug Res	 0040021
 1873-2437	 0065-2571	 Advances in enzyme regulation	 278	 Adv Enzyme Regul	 0044263
 1934-4694	 0065-258X	 Advances in enzymology and related areas of molecular biology	 279	 Adv Enzymol Relat Areas Mol Biol	 0337243
 2214-8019	 0065-2598	 Advances in experimental medicine and biology	 280	 Adv Exp Med Biol	 0121103
	 0567-994X	 Advances in fluorine research and dental caries prevention	 281	 Adv Fluorine Res	 14630160R
	 0731-2199	 Advances in health economics and health services research	 282	 Adv Health Econ Health Serv Res	 8206631
	 0044-6173	 Aktuelle Traumatologie	 283	 Aktuelle Traumatol	 0421405
	 0065-2628	 Advances in food research	 284	 Adv Food Res	 0370423
