"SCR.title"	"journal"	"PMID"	"Public_ss"	"ds_count"	"year"	"is_research_article"	"relative_citation_ratio"	"nih_percentile"	"citation_count"	"citations_per_year"	"expected_citations_per_year"	"field_citation_rate"	"SJR"	"SJR_Best_Quartile"	"H_index"	"Publisher"
NA	"Arthritis Rheum"	23983088	"N"	0	2013	"Yes"	3.23	86.8	85	9.44444444444444	2.92337430333721	6.50499024731582	NA	NA	NA	NA
NA	"BMC Complement Altern Med"	25888059	"N"	0	2015	"Yes"	0.22	11	5	0.714285714285714	3.27815659879655	7.12446512885943	NA	NA	NA	NA
NA	"BMC Complement Altern Med"	26169365	"N"	0	2015	"Yes"	0.3	15.5	4	0.571428571428571	1.92664626941753	3.3508042381297	NA	NA	NA	NA
NA	"Biol Psychiatry Glob Open Sci"	34278373	"Y"	30	2021	"Yes"	NA	NA	2	2	NA	10.5292696947972	NA	NA	NA	NA
NA	"Brain Commun"	33345186	"N"	0	2020	"Yes"	0.27	14.2	2	1	3.64021200682916	8.06801894397278	NA	NA	NA	NA
NA	"Brain Commun"	33426524	"N"	0	2020	"Yes"	0.4	21.3	3	1.5	3.76654475767202	8.3480177531444	NA	NA	NA	NA
NA	"Cell Genom"	34957434	"Y"	1	2021	"Yes"	NA	NA	0	0	NA	NA	NA	NA	NA	NA
NA	"Cell Genom"	34957435	"Y"	1	2021	"Yes"	NA	NA	1	1	NA	8.89450243190062	NA	NA	NA	NA
NA	"Circ Cardiovasc Genet"	19802338	"N"	0	2008	"Yes"	2.39	79.9	102	7.28571428571429	3.04474455986944	7.24071398045853	NA	NA	NA	NA
NA	"Circ Cardiovasc Genet"	20031538	"N"	0	2008	"Yes"	1.61	67.7	74	5.28571428571429	3.28247365661655	7.99571389164966	NA	NA	NA	NA
NA	"Circ Cardiovasc Genet"	20031564	"N"	0	2009	"Yes"	3.57	88.6	151	11.6153846153846	3.25670356077913	7.71281444933948	NA	NA	NA	NA
NA	"Circ Cardiovasc Genet"	20031576	"N"	0	2009	"Yes"	1.53	66	73	5.61538461538462	3.66931986030167	8.97510775216513	NA	NA	NA	NA
NA	"Circ Cardiovasc Genet"	20031577	"N"	0	2009	"Yes"	1.35	61.4	63	4.84615384615385	3.59562568228465	8.74965939378526	NA	NA	NA	NA
NA	"Circ Cardiovasc Genet"	20031578	"N"	0	2009	"Yes"	1.98	74.5	82	6.30769230769231	3.18003681699401	7.4782722915493	NA	NA	NA	NA
NA	"Circ Cardiovasc Genet"	20031579	"N"	0	2009	"Yes"	1.63	68.2	64	4.92307692307692	3.01865155188832	6.98455563626114	NA	NA	NA	NA
NA	"Circ Cardiovasc Genet"	20031582	"N"	0	2009	"Yes"	3.55	88.5	139	10.6923076923077	3.00795755417173	6.95184010438875	NA	NA	NA	NA
NA	"Circ Cardiovasc Genet"	20031603	"N"	0	2009	"Yes"	1.13	54.9	54	4.15384615384615	3.67151087986854	8.98181061225284	NA	NA	NA	NA
NA	"Circ Cardiovasc Genet"	20031604	"N"	0	2009	"Yes"	0.52	28.2	18	1.38461538461538	2.6531892737953	5.86651791791105	NA	NA	NA	NA
NA	"Circ Cardiovasc Genet"	20400778	"N"	0	2010	"Yes"	1.49	65.1	63	5.25	3.51943229081363	8.47345854474082	NA	NA	NA	NA
NA	"Circ Cardiovasc Genet"	20445134	"N"	0	2010	"Yes"	3.32	87.3	135	11.25	3.38865814176981	8.05644036556586	NA	NA	NA	NA
NA	"Circ Cardiovasc Genet"	20529992	"N"	0	2010	"Yes"	3.02	85.4	109	9.08333333333333	3.01213196868119	6.85575765983839	NA	NA	NA	NA
NA	"Circ Cardiovasc Genet"	20884846	"N"	0	2010	"Yes"	6.69	95.9	234	19.5	2.91339952366302	6.54091543185969	NA	NA	NA	NA
NA	"Circ Cardiovasc Genet"	21493818	"N"	0	2011	"Yes"	0.38	20.1	14	1.27272727272727	3.37315560152561	8.00727402270972	NA	NA	NA	NA
NA	"Circ Cardiovasc Genet"	21606135	"N"	0	2011	"Yes"	2.17	77.3	92	8.36363636363636	3.8461073516129	9.46188582090948	NA	NA	NA	NA
NA	"Circ Cardiovasc Genet"	21665988	"N"	0	2011	"Yes"	1.42	63.3	51	4.63636363636364	3.26165082985741	7.66432961792804	NA	NA	NA	NA
NA	"Circ Cardiovasc Genet"	21846871	"N"	0	2011	"No"	0.37	19.6	15	1.36363636363636	3.71544662334024	9.0600252994679	NA	NA	NA	NA
NA	"Circ Cardiovasc Genet"	22068335	"N"	0	2012	"Yes"	2.27	78.5	69	6.9	3.03954430750724	7.03221672846344	NA	NA	NA	NA
NA	"Circ Cardiovasc Genet"	22199011	"N"	0	2012	"Yes"	2.56	81.6	81	8.1	3.16383936939775	7.42514869372576	NA	NA	NA	NA
NA	"Circ Cardiovasc Genet"	22319020	"N"	0	2012	"Yes"	2.42	80.2	88	8.8	3.64272403788433	8.93903903707802	NA	NA	NA	NA
NA	"Circ Cardiovasc Genet"	22331829	"N"	0	2012	"Yes"	6.21	95.4	190	19	3.05754711252264	7.08912870426799	NA	NA	NA	NA
NA	"Circ Cardiovasc Genet"	22399527	"N"	0	2012	"Yes"	4.8	92.9	147	14.7	3.06330955840526	7.10734543107062	NA	NA	NA	NA
NA	"Circ Cardiovasc Genet"	23118302	"N"	0	2012	"Yes"	0.88	45.4	31	3.1	3.53045344840993	8.58411984163811	NA	NA	NA	NA
NA	"Circ Cardiovasc Genet"	23139255	"N"	0	2012	"Yes"	0.95	48.4	36	3.6	3.78398286298204	9.38559827211167	NA	NA	NA	NA
NA	"Circ Cardiovasc Genet"	23166209	"N"	0	2012	"Yes"	0.8	42.1	30	3	3.74774567121655	9.27104222491694	NA	NA	NA	NA
NA	"Circ Cardiovasc Genet"	23247143	"N"	0	2013	"Yes"	0.71	37.9	24	2.66666666666667	3.75715709735501	9.08069904830929	NA	NA	NA	NA
NA	"Circ Cardiovasc Genet"	23247145	"N"	0	2013	"Yes"	0.64	34.4	19	2.11111111111111	3.29943174770195	7.66670103827835	NA	NA	NA	NA
NA	"Circ Cardiovasc Genet"	23255317	"N"	0	2013	"Yes"	1.5	65.4	49	5.44444444444445	3.61858605029142	8.65262753130826	NA	NA	NA	NA
NA	"Circ Cardiovasc Genet"	23275298	"N"	0	2013	"Yes"	1.18	56.6	37	4.11111111111111	3.4732555702837	8.20367487949745	NA	NA	NA	NA
NA	"Circ Cardiovasc Genet"	23362303	"Y"	4	2013	"Yes"	2.22	77.9	63	7	3.1529670369972	7.21424453869135	NA	NA	NA	NA
NA	"Circ Cardiovasc Genet"	23392654	"N"	0	2013	"Yes"	2.6	82.1	75	8.33333333333333	3.2001435381103	7.35998145001755	NA	NA	NA	NA
NA	"Circ Cardiovasc Genet"	24046328	"N"	0	2013	"Yes"	1.76	70.7	52	5.77777777777778	3.28511390976156	7.62247059665873	NA	NA	NA	NA
NA	"Circ Cardiovasc Genet"	24047826	"N"	0	2013	"Yes"	1.55	66.3	46	5.11111111111111	3.30690652979171	7.68979201850996	NA	NA	NA	NA
NA	"Circ Cardiovasc Genet"	24165912	"N"	0	2013	"Yes"	1.69	69.4	47	5.22222222222222	3.08473749708528	7.0034709083169	NA	NA	NA	NA
NA	"Circ Cardiovasc Genet"	24795349	"N"	0	2014	"Yes"	1.18	56.4	30	3.75	3.18204500131824	7.03063655780727	NA	NA	NA	NA
NA	"Circ Cardiovasc Genet"	24823311	"N"	0	2014	"Yes"	3.9	90.1	105	13.125	3.36618955056328	7.5689872006946	NA	NA	NA	NA
NA	"Circ Cardiovasc Genet"	24850809	"N"	0	2014	"Yes"	1.02	50.9	32	4	3.93105487317392	9.22038340448627	NA	NA	NA	NA
NA	"Circ Cardiovasc Genet"	25214527	"N"	0	2014	"Yes"	0.91	46.6	24	3	3.30838057673669	7.3999813932906	NA	NA	NA	NA
NA	"Circ Cardiovasc Genet"	25245031	"N"	0	2014	"Yes"	1.71	69.8	38	4.75	2.77187639603883	5.83149961213246	NA	NA	NA	NA
NA	"Circ Cardiovasc Genet"	25477429	"N"	0	2015	"No"	0.98	49.4	22	3.14285714285714	3.2178741869618	6.95614574942548	NA	NA	NA	NA
NA	"Circ Cardiovasc Genet"	25552591	"N"	0	2015	"Yes"	0.39	20.8	10	1.42857142857143	3.67804055068335	8.24101333220096	NA	NA	NA	NA
NA	"Circ Cardiovasc Genet"	25561047	"N"	0	2015	"Yes"	0.97	49.1	24	3.42857142857143	3.53504971652326	7.8417571024312	NA	NA	NA	NA
NA	"Circ Cardiovasc Genet"	25583994	"N"	0	2015	"Yes"	4.67	92.5	117	16.7142857142857	3.58087459447778	7.96970843657964	NA	NA	NA	NA
NA	"Circ Cardiovasc Genet"	25663218	"N"	0	2015	"Yes"	4.71	92.6	114	16.2857142857143	3.46056458740932	7.63378117167575	NA	NA	NA	NA
NA	"Circ Cardiovasc Genet"	26160806	"N"	0	2015	"Yes"	0.82	43	18	2.57142857142857	3.13239968308616	6.71748549991171	NA	NA	NA	NA
NA	"Circ Cardiovasc Genet"	26567291	"N"	0	2016	"Yes"	0.86	44.5	15	2.5	2.92176151842451	6.02989116521581	NA	NA	NA	NA
NA	"Circ Cardiovasc Genet"	26582766	"N"	0	2016	"Yes"	1.42	63.4	36	6	4.21695922263689	9.58673298313864	NA	NA	NA	NA
NA	"Circ Cardiovasc Genet"	26969751	"N"	0	2016	"Yes"	1.21	57.2	28	4.66666666666667	3.87226226571759	8.6401342153259	NA	NA	NA	NA
NA	"Circ Cardiovasc Genet"	28348047	"N"	0	2017	"Yes"	0.81	42.6	19	3.8	4.6771597611335	9.8191580018988	NA	NA	NA	NA
NA	"Circ Cardiovasc Genet"	28373160	"N"	0	2017	"Yes"	2.77	83.5	52	10.4	3.75372939893842	7.63250241763535	NA	NA	NA	NA
NA	"Circ Cardiovasc Genet"	28468790	"N"	0	2017	"Yes"	1.24	58.5	24	4.8	3.85715879943723	7.87742015635917	NA	NA	NA	NA
NA	"Circ Cardiovasc Genet"	28794112	"Y"	2	2017	"Yes"	1.07	52.6	24	4.8	4.50627519536591	9.41450844163105	NA	NA	NA	NA
NA	"Circ Cardiovasc Genet"	29212897	"N"	0	2017	"Yes"	0.79	41.5	12	2.4	3.04604168829493	5.95671900423888	NA	NA	NA	NA
NA	"Circ Cardiovasc Genet"	29212900	"N"	0	2017	"Yes"	0.23	11.8	5	1	4.31472077936673	8.96091329186875	NA	NA	NA	NA
NA	"Circ Cardiovasc Genet"	29237677	"N"	0	2017	"Yes"	0.86	44.7	16	3.2	3.72156896600227	7.55634747065593	NA	NA	NA	NA
NA	"Circ Cardiovasc Genet"	29237688	"N"	0	2017	"Yes"	2.1	76.3	40	8	3.80608865943714	7.7564875864631	NA	NA	NA	NA
NA	"Exp Ther Med"	29104669	"N"	0	2017	"Yes"	0.97	49.2	12	2.4	2.46761711729657	4.58702685415387	NA	NA	NA	NA
NA	"Exp Ther Med"	32742401	"N"	0	2020	"Yes"	0.14	6.8	1	0.5	3.56230302557873	7.89534462295662	NA	NA	NA	NA
NA	"Explor Med"	34124712	"N"	0	2021	"Yes"	NA	NA	2	2	NA	7.36413614528666	NA	NA	NA	NA
NA	"J Androl"	19478329	"N"	0	2009	"Yes"	2.57	81.8	98	7.53846153846154	2.9303352744768	6.71437473057208	NA	NA	NA	NA
NA	"J BioX Res"	32953199	"N"	0	2019	"Yes"	0.15	7.4	2	0.666666666666667	4.36509658481204	8.78712521830386	NA	NA	NA	NA
NA	"J Nutr Intermed Metab"	28439531	"N"	0	2017	"Yes"	0.52	27.9	8	1.6	3.1011132672273	6.08712686230456	NA	NA	NA	NA
NA	"J Nutrigenet Nutrigenomics"	26112879	"N"	0	2015	"Yes"	0.53	28.4	12	1.71428571428571	3.2639531103537	7.08480642430973	NA	NA	NA	NA
NA	"J Nutrigenet Nutrigenomics"	28002826	"N"	0	2016	"Yes"	0.3	15.5	5	0.833333333333333	2.81194507208956	5.72831579386557	NA	NA	NA	NA
NA	"Kidney Int Suppl"	17653210	"N"	0	2007	"Yes"	0.78	41.2	33	2.2	2.81565955802166	6.85342856395722	NA	NA	NA	NA
NA	"Mayo Clin Proc Innov Qual Outcomes"	31993563	"N"	0	2019	"Yes"	0.28	14.3	2	0.666666666666667	2.41660478372349	4.71568123965592	NA	NA	NA	NA
NA	"Mol Endocrinol"	23518928	"N"	0	2013	"Yes"	1.26	58.8	39	4.33333333333333	3.45000006684295	8.13183434103393	NA	NA	NA	NA
NA	"Mol Neuropsychiatry"	29998114	"N"	0	2018	"Yes"	0.55	29.6	8	2	3.65349074278087	7.26591292720002	NA	NA	NA	NA
NA	"Mol Neuropsychiatry"	32399468	"N"	0	2020	"Yes"	0.12	5.9	1	0.5	4.09637020643698	9.07902956340374	NA	NA	NA	NA
NA	"NAR Genom Bioinform"	32002517	"Y"	1	2020	"Yes"	0.08	3.7	1	0.5	6.55401431858064	14.526052763459	NA	NA	NA	NA
NA	"NPJ Precis Oncol"	34002017	"Y"	1	2021	"Yes"	NA	NA	1	1	NA	11.6392627621686	NA	NA	NA	NA
NA	"NPJ Precis Oncol"	34262104	"Y"	1	2021	"Yes"	NA	NA	1	1	NA	9.15529469923707	NA	NA	NA	NA
NA	"Nat Aging"	33959723	"Y"	116	2021	"Yes"	1.84	NA	6	6	3.25385568863032	9.23929564869227	NA	NA	NA	NA
NA	"Papillomavirus Res"	30092369	"Y"	1	2019	"Yes"	0.31	16.3	3	1	3.20941860793207	6.37229435394233	NA	NA	NA	NA
NA	"World J Diabetes"	35047121	"N"	0	2021	"Yes"	NA	NA	0	0	NA	NA	NA	NA	NA	NA
"AIDS"	"AIDS"	20009918	"N"	0	2010	"Yes"	0.91	46.6	38	3.16666666666667	3.49281571723447	8.38858248069441	1.702	"Q1"	222	"Lippincott Williams and Wilkins Ltd."
"AIDS"	"AIDS"	21160409	"N"	0	2011	"Yes"	1.55	66.3	63	5.72727272727273	3.70244471147896	9.02003658098007	1.702	"Q1"	222	"Lippincott Williams and Wilkins Ltd."
"AIDS"	"AIDS"	33095540	"N"	0	2021	"Yes"	NA	NA	1	1	NA	6.61449602975809	1.702	"Q1"	222	"Lippincott Williams and Wilkins Ltd."
"AIDS Research and Human Retroviruses"	"AIDS Res Hum Retroviruses"	25950743	"N"	0	2015	"Yes"	0.11	5.1	3	0.428571428571429	4.03664326675579	9.24229687072471	0.64	"Q2"	94	"Mary Ann Liebert Inc."
"AIDS Research and Human Retroviruses"	"AIDS Res Hum Retroviruses"	28132517	"N"	0	2017	"Yes"	0.41	21.9	9	1.8	4.41532284648899	9.19913598939671	0.64	"Q2"	94	"Mary Ann Liebert Inc."
"Acta Diabetologica"	"Acta Diabetol"	25246029	"N"	0	2015	"Yes"	1.55	66.4	37	5.28571428571429	3.41410363059649	7.50405379049397	1.048	"Q1"	73	"Springer-Verlag Italia Srl"
"Acta Neuropathologica"	"Acta Neuropathol"	24770881	"N"	0	2014	"Yes"	1.79	71.2	48	6	3.35765871711134	7.54404712132735	5.203	"Q1"	184	"Springer Verlag"
"Acta Neuropathologica"	"Acta Neuropathol"	28247064	"N"	0	2017	"Yes"	4.66	92.5	86	17.2	3.68943566997419	7.48025678306627	5.203	"Q1"	184	"Springer Verlag"
"Acta Neuropathologica"	"Acta Neuropathol"	30413934	"N"	0	2019	"Yes"	4.36	91.7	49	16.3333333333333	3.74447408359377	7.49031209125509	5.203	"Q1"	184	"Springer Verlag"
"Acta Neuropathologica"	"Acta Neuropathol"	33635380	"N"	0	2021	"Yes"	NA	NA	2	2	NA	9.43413612749284	5.203	"Q1"	184	"Springer Verlag"
"Acta Ophthalmologica"	"Acta Ophthalmol"	30178632	"N"	0	2018	"Yes"	2.09	76.1	27	6.75	3.23449879780125	6.34554074514889	1.314	"Q1"	93	"Wiley-Blackwell Publishing Ltd"
"Acta Psychiatrica Scandinavica"	"Acta Psychiatr Scand"	31972866	"N"	0	2020	"Yes"	0.12	5.8	1	0.5	4.17152400135713	9.24559740065874	2.558	"Q1"	153	"Wiley-Blackwell Publishing Ltd"
"Acta neuropathologica communications"	"Acta Neuropathol Commun"	33213513	"N"	0	2020	"Yes"	0.14	6.5	1	0.5	3.69221123749306	8.18326793971294	2.415	"Q1"	64	"BioMed Central Ltd."
"Acta neuropathologica communications"	"Acta Neuropathol Commun"	33757599	"N"	0	2021	"Yes"	2.79	NA	8	8	2.8642022421917	7.2929116182855	2.415	"Q1"	64	"BioMed Central Ltd."
"Acta neuropathologica communications"	"Acta Neuropathol Commun"	34020725	"N"	0	2021	"Yes"	NA	NA	2	2	NA	11.3983384693703	2.415	"Q1"	64	"BioMed Central Ltd."
"Addiction"	"Addiction"	22524403	"N"	0	2012	"Yes"	1.81	71.7	55	5.5	3.03436888076713	7.01585573576486	2.058	"Q1"	202	"Wiley-Blackwell Publishing Ltd"
"Addiction"	"Addiction"	28921760	"N"	0	2018	"Yes"	2.16	77.1	26	6.5	3.0035032384741	5.83812791888948	2.058	"Q1"	202	"Wiley-Blackwell Publishing Ltd"
"Addiction"	"Addiction"	30003630	"N"	0	2018	"Yes"	1.37	61.9	17	4.25	3.10918427350171	6.07027053159414	2.058	"Q1"	202	"Wiley-Blackwell Publishing Ltd"
"Addiction"	"Addiction"	33861876	"N"	0	2021	"Yes"	NA	NA	1	1	NA	10.904928569479	2.058	"Q1"	202	"Wiley-Blackwell Publishing Ltd"
"Addiction Biology"	"Addict Biol"	21668797	"N"	0	2011	"Yes"	1.6	67.6	50	4.54545454545455	2.83543122543941	6.35344734485046	1.185	"Q1"	83	"Wiley-Blackwell"
"Addiction Biology"	"Addict Biol"	22004471	"N"	0	2012	"Yes"	3.8	89.7	112	11.2	2.94528893013142	6.73424873113912	1.185	"Q1"	83	"Wiley-Blackwell"
"Addiction Biology"	"Addict Biol"	22780124	"N"	0	2013	"Yes"	1.5	65.3	36	4	2.66285452046215	5.70019659794019	1.185	"Q1"	83	"Wiley-Blackwell"
"Addiction Biology"	"Addict Biol"	22823124	"N"	0	2013	"Yes"	1.56	66.7	39	4.33333333333333	2.77161346140169	6.03617302174574	1.185	"Q1"	83	"Wiley-Blackwell"
"Addiction Biology"	"Addict Biol"	24832863	"N"	0	2015	"Yes"	1.64	68.4	35	5	3.04465573902609	6.47248856359529	1.185	"Q1"	83	"Wiley-Blackwell"
"Addiction Biology"	"Addict Biol"	26202629	"N"	0	2016	"Yes"	0.62	33.6	13	2.16666666666667	3.47374834410088	7.54574455047339	1.185	"Q1"	83	"Wiley-Blackwell"
"Addiction Biology"	"Addict Biol"	27151647	"N"	0	2017	"Yes"	0.53	28.5	10	2	3.7925198885498	7.72435714128057	1.185	"Q1"	83	"Wiley-Blackwell"
"Addiction Biology"	"Addict Biol"	29058377	"N"	0	2019	"Yes"	4.32	91.5	46	15.3333333333333	3.5500262212342	7.08400626131906	1.185	"Q1"	83	"Wiley-Blackwell"
"Addiction Biology"	"Addict Biol"	29082582	"N"	0	2018	"Yes"	0.34	18.1	5	1.25	3.64631827888457	7.25015764520471	1.185	"Q1"	83	"Wiley-Blackwell"
"Addiction Biology"	"Addict Biol"	29532581	"N"	0	2019	"Yes"	0.84	43.6	9	3	3.59216368064917	7.17205400435536	1.185	"Q1"	83	"Wiley-Blackwell"
"Addiction Biology"	"Addict Biol"	31270906	"N"	0	2020	"Yes"	1.52	65.7	9	4.5	2.95837120154077	6.5568145076597	1.185	"Q1"	83	"Wiley-Blackwell"
"Addiction Biology"	"Addict Biol"	31362332	"N"	0	2020	"Yes"	0.71	38	4	2	2.80485242633527	6.21656169153528	1.185	"Q1"	83	"Wiley-Blackwell"
"Addiction Biology"	"Addict Biol"	32281736	"N"	0	2021	"Yes"	NA	NA	0	0	NA	NA	1.185	"Q1"	83	"Wiley-Blackwell"
"Addiction Biology"	"Addict Biol"	34877740	"N"	0	2022	"Yes"	NA	NA	0	0	NA	NA	1.185	"Q1"	83	"Wiley-Blackwell"
"Aging"	"Aging (Albany NY)"	20834067	"N"	0	2010	"Yes"	1.55	66.5	62	5.16666666666667	3.32877815209654	7.86549250281817	1.212	"Q2"	103	"Impact Journals LLC"
"Aging"	"Aging (Albany NY)"	27015805	"Y"	3	2016	"Yes"	3.03	85.5	72	12	3.95625100628866	8.8707821416821	1.212	"Q2"	103	"Impact Journals LLC"
"Aging"	"Aging (Albany NY)"	28077804	"N"	0	2017	"Yes"	0.77	40.7	14	2.8	3.63551154394226	7.35256605928071	1.212	"Q2"	103	"Impact Journals LLC"
"Aging"	"Aging (Albany NY)"	29227965	"Y"	7	2017	"Yes"	3.65	89	74	14.8	4.04938819640908	8.33261364095384	1.212	"Q2"	103	"Impact Journals LLC"
"Aging"	"Aging (Albany NY)"	29615537	"N"	0	2018	"Yes"	0.87	45.3	16	4	4.57558929173046	9.29142645730902	1.212	"Q2"	103	"Impact Journals LLC"
"Aging"	"Aging (Albany NY)"	31295725	"N"	0	2019	"Yes"	0.31	16.1	4	1.33333333333333	4.34794085008355	8.75127769109303	1.212	"Q2"	103	"Impact Journals LLC"
"Aging"	"Aging (Albany NY)"	31370031	"N"	0	2019	"Yes"	0.26	13.1	3	1	3.92031622731176	7.85774060023478	1.212	"Q2"	103	"Impact Journals LLC"
"Aging"	"Aging (Albany NY)"	31711042	"N"	0	2019	"Yes"	0.2	10.1	2	0.666666666666667	3.28592020625619	6.53214720612252	1.212	"Q2"	103	"Impact Journals LLC"
"Aging"	"Aging (Albany NY)"	31760383	"N"	0	2019	"Yes"	0.6	32.3	7	2.33333333333333	3.8980784098281	7.81127387759241	1.212	"Q2"	103	"Impact Journals LLC"
"Aging"	"Aging (Albany NY)"	32205469	"N"	0	2020	"Yes"	0.96	48.8	7	3.5	3.64181779027718	8.07157793758475	1.212	"Q2"	103	"Impact Journals LLC"
"Aging"	"Aging (Albany NY)"	32235003	"N"	0	2020	"Yes"	0.55	29.9	3	1.5	2.71441896197455	6.01612861174143	1.212	"Q2"	103	"Impact Journals LLC"
"Aging"	"Aging (Albany NY)"	32897244	"N"	0	2020	"Yes"	0	0	0	0	2.22249746266197	4.92585365853659	1.212	"Q2"	103	"Impact Journals LLC"
"Aging"	"Aging (Albany NY)"	33232274	"N"	0	2020	"Yes"	0.28	14.6	2	1	3.55082643772603	7.86990837692642	1.212	"Q2"	103	"Impact Journals LLC"
"Aging"	"Aging (Albany NY)"	33891562	"N"	0	2021	"Yes"	NA	NA	0	0	NA	NA	1.212	"Q2"	103	"Impact Journals LLC"
"Aging"	"Aging (Albany NY)"	34718232	"N"	0	2021	"Yes"	NA	NA	0	0	NA	NA	1.212	"Q2"	103	"Impact Journals LLC"
