PMID	Public_ss	ds_count	journal	year	is_research_article	relative_citation_ratio	nih_percentile	citation_count	citations_per_year	expected_citations_per_year	field_citation_rate
17903293	N	0	BMC Med Genet	2007	Yes	2.06	75.7	96	6.4	3.10319719912644	7.91522806067039
17903294	N	0	BMC Med Genet	2007	Yes	1.2	57.1	58	3.86666666666667	3.22206035107292	8.34506915106696
17903295	N	0	BMC Med Genet	2007	Yes	3.12	86.1	144	9.6	3.07871510491159	7.82669423079821
17903296	N	0	BMC Med Genet	2007	Yes	4.15	91	177	11.8	2.84299209639826	6.97425650428948
17903297	N	0	BMC Med Genet	2007	Yes	3.45	88	144	9.6	2.78150113657802	6.75188867384052
17903298	N	0	BMC Med Genet	2007	Yes	1.32	60.6	66	4.4	3.33488967249258	8.75309028927102
17903299	N	0	BMC Med Genet	2007	Yes	4.88	93.1	226	15.0666666666667	3.08692571333186	7.85638599665157
17903300	N	0	BMC Med Genet	2007	Yes	2.8	83.8	120	8	2.85957605355357	7.03422854869512
17903301	N	0	BMC Med Genet	2007	Yes	1.75	70.6	76	5.06666666666667	2.89109155939398	7.14819708455337
17903302	N	0	BMC Med Genet	2007	Yes	4.49	92.1	196	13.0666666666667	2.90950095445925	7.21477040285104
17903303	N	0	BMC Med Genet	2007	Yes	2.33	79.2	106	7.06666666666667	3.029015745334	7.64696799467704
17903304	N	0	BMC Med Genet	2007	Yes	3.23	86.8	147	9.8	3.03589183377524	7.67183377776326
17903305	N	0	BMC Med Genet	2007	Yes	1.86	72.6	91	6.06666666666667	3.26015551220915	8.48283148811991
17903306	N	0	BMC Med Genet	2007	Yes	1.44	63.8	63	4.2	2.91546995783152	7.23635592263662
17903307	N	0	BMC Med Genet	2007	Yes	2.19	77.5	91	6.06666666666667	2.77260845071009	6.71973033269417
17903308	N	0	BMC Med Genet	2007	Yes	3.71	89.3	157	10.4666666666667	2.82049930047986	6.89291651148845
17911428	N	0	Ann N Y Acad Sci	2007	Yes	0.55	29.6	25	1.66666666666667	3.05045018229929	7.72448067717214
17934461	N	0	Nat Genet	2007	Yes	7.95	97	399	26.6	3.34610943885315	8.79366397865624
17952075	N	0	Nat Genet	2007	Yes	10.68	98.3	468	31.2	2.9224197711701	7.26148831475805
17975299	N	0	Neurodegener Dis	2008	Yes	1.46	64.3	64	4.57142857142857	3.13201337531225	7.54694747147127
17982456	N	0	Nat Genet	2007	Yes	8.82	97.5	431	28.7333333333333	3.25597223818474	8.46770364539797
17997608	N	0	PLoS Genet	2007	Yes	5.25	93.9	208	13.8666666666667	2.64157049874415	6.24586189462912
17998437	N	0	Arch Neurol	2008	Yes	9.36	97.8	387	27.6428571428571	2.95318835213289	6.97685417740038
17999355	N	0	Am J Hum Genet	2007	Yes	4.26	91.4	186	12.4	2.91052664501481	7.21847957545494
18057069	N	0	Hum Mol Genet	2008	Yes	3.33	87.4	147	10.5	3.15540224359077	7.62151106846919
18067574	N	0	Genes Brain Behav	2008	Yes	2.22	77.8	91	6.5	2.93406201686658	6.91587951467359
18073375	N	0	J Natl Cancer Inst	2007	Yes	4.3	91.5	203	13.5333333333333	3.14419601414781	8.06349079024775
18075462	N	0	Pharmacogenet Genomics	2007	Yes	0.34	18.1	13	0.866666666666667	2.53559459752965	5.86262456507969
18084291	N	0	Nat Genet	2008	Yes	3.67	89.1	169	12.0714285714286	3.28886183007848	8.0469795735665
18159244	N	0	PLoS One	2007	Yes	8.83	97.5	370	24.6666666666667	2.79380856558227	6.79639564354923
18179892	N	0	Am J Hum Genet	2008	Yes	8.07	97.1	331	23.6428571428571	2.92802007293844	6.89661782715724
18193043	N	0	Nat Genet	2008	Yes	28.8	99.8	1213	86.6428571428572	3.00827830119434	7.15248066396396
18193044	N	0	Nat Genet	2008	Yes	23.88	99.7	1029	73.5	3.07762025806869	7.37354248131472
18193045	N	0	Nat Genet	2008	Yes	6.32	95.5	287	20.5	3.24419611160098	7.90458548281702
18193046	N	0	Nat Genet	2008	Yes	5.38	94.1	244	17.4285714285714	3.2385755920572	7.8866672941646
18195134	N	0	Arch Neurol	2008	Yes	3.04	85.6	125	8.92857142857143	2.93358887240935	6.91437113247182
18198356	N	0	Diabetes	2008	Yes	2.25	78.3	112	8	3.55422114669817	8.89294376937364
18204098	N	0	N Engl J Med	2008	Yes	14.93	99.1	665	47.5	3.18183373418891	7.70577453045229
18204446	N	0	Nat Genet	2008	Yes	21.11	99.5	963	68.7857142857143	3.25859098686707	7.95047627434208
18204447	N	0	Nat Genet	2008	Yes	7.41	96.6	353	25.2142857142857	3.40460038443587	8.41595351542041
18227835	N	0	Mol Psychiatry	2008	Yes	9.94	98	362	25.8571428571429	2.60247423017309	5.85877928211741
18239089	N	0	Science	2008	Yes	2.66	82.6	132	9.42857142857143	3.545295825989	8.86448989086565
18245381	N	0	Proc Natl Acad Sci U S A	2008	Yes	8.59	97.4	418	29.8571428571429	3.47588500371995	8.64320853097545
18252221	N	0	Am J Hum Genet	2008	Yes	3.51	88.3	153	10.9285714285714	3.11304193660796	7.4864666182221
18262040	N	0	Lancet	2008	Yes	5.67	94.6	257	18.3571428571429	3.24033911980313	7.89228941194202
18264096	N	0	Nat Genet	2008	Yes	15.73	99.2	712	50.8571428571429	3.23387807139283	7.87169162139855
18264097	N	0	Nat Genet	2008	Yes	14.3	99	645	46.0714285714286	3.22069740932726	7.82967173558279
18264098	N	0	Nat Genet	2008	Yes	6.17	95.3	296	21.1428571428571	3.42655922453241	8.48595818961
18282107	N	0	PLoS Genet	2008	Yes	6.04	95.2	248	17.7142857142857	2.93342514979481	6.91384918558219
18311140	N	0	Nat Genet	2008	Yes	10.66	98.3	482	34.4285714285714	3.23050618173207	7.86094205374986
18316681	N	0	Arch Gen Psychiatry	2008	Yes	2.8	83.8	108	7.71428571428571	2.75400046780648	6.34184418217867
18317468	N	0	Mol Psychiatry	2008	Yes	12.69	98.7	503	35.9285714285714	2.83227074434347	6.59136943868627
18325910	N	0	Hum Mol Genet	2008	Yes	2.84	84.1	133	9.5	3.34117951439817	8.21376809377298
18326623	N	0	Proc Natl Acad Sci U S A	2008	Yes	4.85	93	236	16.8571428571429	3.47553046696886	8.6420782695573
18327256	N	0	Nat Genet	2008	Yes	7.4	96.6	293	20.9285714285714	2.83001180118549	6.58416793901272
18327257	N	0	Nat Genet	2008	Yes	14.47	99	510	36.4285714285714	2.51670309494416	5.58534132500437
18332876	N	0	Mol Psychiatry	2009	Yes	2.56	81.6	107	8.23076923076923	3.21522492109857	7.61672270580929
18347602	N	0	Mol Psychiatry	2008	Yes	6.62	95.9	277	19.7857142857143	2.98966434768963	7.09313947177219
18360741	N	0	Behav Genet	2008	Yes	0.49	26.5	19	1.35714285714286	2.77057972096487	6.39469875967713
18364390	N	0	Hum Mol Genet	2008	Yes	2.88	84.4	137	9.78571428571429	3.39772435441381	8.3940327655404
18369459	N	0	PLoS Genet	2008	Yes	11.29	98.4	501	35.7857142857143	3.16931607635468	7.66586829886404
18372901	N	0	Nat Genet	2008	Yes	9.42	97.8	457	32.6428571428571	3.46387214184055	8.60491158640757
18372903	N	0	Nat Genet	2008	Yes	31.85	99.8	1357	96.9285714285714	3.04319295108804	7.26378839604386
18372905	N	0	Nat Genet	2008	Yes	9.22	97.7	457	32.6428571428571	3.53917905819785	8.84498966524218
18385676	N	0	Nat Genet	2008	Yes	22.83	99.6	933	66.6428571428572	2.91888187335113	6.86748529183312
18385738	N	0	Nature	2008	Yes	22.31	99.6	914	65.2857142857143	2.92647020306841	6.89167684963699
18385739	N	0	Nature	2008	Yes	26.55	99.7	1080	77.1428571428571	2.90510443066239	6.82356287232689
18391950	N	0	Nat Genet	2008	Yes	9.52	97.8	435	31.0714285714286	3.26452738224611	7.96940147360321
18391951	N	0	Nat Genet	2008	Yes	10.3	98.1	467	33.3571428571429	3.24007660195587	7.89145250633654
18391952	N	0	Nat Genet	2008	Yes	13.3	98.9	575	41.0714285714286	3.08888506202619	7.40945462090802
18403759	N	0	N Engl J Med	2008	Yes	9.27	97.7	372	26.5714285714286	2.86575826295617	6.6981274832639
18439548	N	0	Am J Hum Genet	2008	Yes	5.81	94.8	253	18.0714285714286	3.11071780216455	7.47905728905132
18439552	N	0	Am J Hum Genet	2008	Yes	3.17	86.4	144	10.2857142857143	3.24797007635195	7.9166168638751
18445777	N	0	N Engl J Med	2008	Yes	11.07	98.4	455	32.5	2.93610858416725	6.92240396115896
18449908	N	0	Am J Med Genet B Neuropsychiatr Genet	2009	Yes	1.28	59.4	54	4.15384615384615	3.25640493703891	7.74299432591669
18451265	N	0	Science	2008	Yes	3.94	90.2	180	12.8571428571429	3.26480132557474	7.97027480358706
18454146	N	0	Nat Genet	2008	Yes	8.41	97.3	346	24.7142857142857	2.93786398139956	6.92800015889895
18454148	N	0	Nat Genet	2008	Yes	23	99.6	906	64.7142857142857	2.81311741821309	6.53030872921763
18455228	N	0	Lancet	2008	Yes	12.07	98.6	475	33.9285714285714	2.81099607283397	6.52354589058608
18463370	N	0	N Engl J Med	2008	Yes	4.23	91.3	207	14.7857142857143	3.49258642004604	8.6964525640515
18463975	N	0	Breast Cancer Res Treat	2009	Yes	0.32	16.9	17	1.30769230769231	4.06760040908601	10.2303893436258
18464913	N	0	PLoS Genet	2008	Yes	6.78	96	324	23.1428571428571	3.41294117636901	8.4425439190663
18471798	N	0	Am J Hum Genet	2008	Yes	2.14	76.9	79	5.64285714285714	2.63380215669557	5.95865255773667
18483556	N	0	PLoS Genet	2008	Yes	7.77	96.9	334	23.8571428571429	3.07067866700688	7.35141272316251
18488026	N	0	Nat Genet	2008	Yes	3.51	88.4	164	11.7142857142857	3.33414823769257	8.19135241822965
18488028	N	0	Nat Genet	2008	Yes	5.55	94.4	249	17.7857142857143	3.20408667982318	7.77671681164911
18514160	N	0	Am J Hum Genet	2008	Yes	2.41	80.1	94	6.71428571428571	2.7852351353217	6.4414201485416
18519826	N	0	Arch Gen Psychiatry	2008	Yes	4.94	93.2	183	13.0714285714286	2.64673679175325	5.99988811066173
18521090	N	0	Mol Psychiatry	2009	Yes	2.98	85.2	112	8.61538461538462	2.89252675811697	6.62722284975275
18521091	N	0	Mol Psychiatry	2009	Yes	2.33	79.3	81	6.23076923076923	2.66881313657367	5.94124250741159
18521185	N	0	J Clin Invest	2008	Yes	2.78	83.6	127	9.07142857142857	3.25967079876817	7.95391870937007
18535201	N	0	Blood	2008	Yes	7.41	96.6	317	22.6428571428571	3.05550282409343	7.30303221062005
18576341	N	0	Arthritis Rheum	2008	Yes	0.82	42.9	39	2.78571428571429	3.40257108875854	8.4094841307853
18587394	N	0	Nat Genet	2008	Yes	44.34	99.9	1948	139.142857142857	3.13838862260842	7.56727172848502
18591461	N	0	Hypertension	2008	Yes	1.89	73.1	82	5.85714285714286	3.09347296440491	7.42408083111874
18594024	N	0	Blood	2008	Yes	4.29	91.5	150	10.7142857142857	2.49692233912601	5.52228037277806
18604267	N	0	PLoS Genet	2008	Yes	5.13	93.6	221	15.7857142857143	3.07862378550854	7.37674172185556
18615156	N	0	Mol Med	2008	Yes	3.88	90	166	11.8571428571429	3.05618356311746	7.30520240327941
18650507	N	0	N Engl J Med	2008	Yes	34.8	99.9	1316	94	2.70088922036258	6.17252578663657
18660810	N	0	Nat Genet	2008	Yes	4.37	91.7	176	12.5714285714286	2.87846278926334	6.73862945062446
18668548	N	0	Arthritis Rheum	2008	Yes	1.9	73.2	84	6	3.15890181850495	7.63266769607758
18677311	N	0	Nat Genet	2008	Yes	19.35	99.5	810	57.8571428571429	2.98946617016342	7.09250768279368
18711365	N	0	Nat Genet	2008	Yes	21.15	99.6	866	61.8571428571429	2.92515210476968	6.88747475874573
18711366	N	0	Nat Genet	2008	Yes	11.49	98.5	505	36.0714285714286	3.13913703873645	7.56965767541895
18711367	N	0	Nat Genet	2008	Yes	12.34	98.7	536	38.2857142857143	3.10185551181733	7.45080435102714
18723019	N	0	Gastroenterology	2008	Yes	1.61	67.8	70	5	3.10028818221978	7.44580771198145
18729187	N	0	Int J Cancer	2008	Yes	0.26	13.3	12	0.857142857142857	3.30714025310619	8.10525109624842
18758461	N	0	Nat Genet	2008	Yes	5.14	93.6	268	19.1428571428571	3.72322024164179	9.43171205257284
18758464	N	0	Nat Genet	2008	Yes	5.18	93.7	243	17.3571428571429	3.3480552341833	8.23568785461921
18759275	N	0	Arthritis Rheum	2008	Yes	1.72	70	62	4.42857142857143	2.57373689736538	5.76716480651507
18760390	N	0	Am J Hum Genet	2008	Yes	0.97	49.2	38	2.71428571428571	2.79377440091054	6.46864328522538
18762592	N	0	Arch Gen Psychiatry	2008	Yes	2.38	79.7	91	6.5	2.73622123528612	6.28516407637817
18776911	N	0	Nat Genet	2008	Yes	2.46	80.7	109	7.78571428571429	3.16218363890541	7.64313012336758
18776929	N	0	PLoS One	2008	Yes	0.96	48.9	42	3	3.11453864788681	7.49123812641519
18780872	N	0	J Natl Cancer Inst	2008	Yes	2.48	80.8	114	8.14285714285714	3.28397040492115	8.03138573423093
18794853	N	0	Nat Genet	2008	Yes	8.73	97.5	411	29.3571428571429	3.36448978543442	8.28808112314926
18794855	N	0	Nat Genet	2008	Yes	6.7	95.9	321	22.9285714285714	3.42312971142297	8.47502491869042
18802019	N	0	Arterioscler Thromb Vasc Biol	2008	Yes	2.26	78.4	103	7.35714285714286	3.25312284932148	7.93304387875016
18820697	N	0	Nat Genet	2008	Yes	2.3	78.8	93	6.64285714285714	2.88842352105432	6.77038421456698
18821564	N	0	Am J Med Genet B Neuropsychiatr Genet	2008	Yes	2.18	77.4	81	5.78571428571429	2.65169420472944	6.01569231883919
18821565	N	0	Am J Med Genet B Neuropsychiatr Genet	2008	Yes	7.31	96.5	280	20	2.73758158197831	6.2895008549399
18823527	N	0	BMC Med Genomics	2008	Yes	2.99	85.3	131	9.35714285714286	3.12616295251452	7.52829635237637
18834626	N	0	Lancet	2008	Yes	13.01	98.8	484	34.5714285714286	2.65825047398845	6.03659367297986
18835860	N	0	J Med Genet	2008	Yes	3.32	87.3	150	10.7142857142857	3.23168520763281	7.86470078252055
18836448	N	0	Nat Genet	2008	Yes	9.85	98	448	32	3.24843348094329	7.91809419543231
18839057	N	0	J Neural Transm (Vienna)	2008	Yes	6.54	95.8	269	19.2142857142857	2.93782699788196	6.92788225562679
18840781	N	0	Diabetes	2009	Yes	2.25	78.2	106	8.15384615384615	3.62997803047233	8.88849363326798
18846228	N	0	PLoS Genet	2008	Yes	4.63	92.5	197	14.0714285714286	3.03843508674449	7.24862034792548
18846501	N	0	Am J Med Genet B Neuropsychiatr Genet	2008	Yes	1.71	69.8	65	4.64285714285714	2.71343697937208	6.21252798062348
18849991	N	0	Nat Genet	2008	Yes	1.61	67.8	74	5.28571428571429	3.27294159266208	7.99622593501111
18849993	N	0	Nat Genet	2008	Yes	1.95	74	91	6.5	3.33916933146871	8.20735964048404
18849994	N	0	Nat Genet	2008	Yes	2.14	76.8	77	5.5	2.57483746099195	5.77067339794175
18937294	N	0	Am J Med Genet B Neuropsychiatr Genet	2008	Yes	2.11	76.4	81	5.78571428571429	2.74028109360331	6.29810688471872
18940312	N	0	Am J Hum Genet	2008	Yes	7.5	96.7	316	22.5714285714286	3.00826499576176	7.15243824631035
18941528	N	0	PLoS One	2008	Yes	1.65	68.5	81	5.78571428571429	3.51571402870525	8.77018326666847
18951430	N	0	Am J Med Genet B Neuropsychiatr Genet	2008	Yes	2.22	77.8	81	5.78571428571429	2.61177137298199	5.88841852764994
18952825	N	0	Hum Mol Genet	2009	Yes	1.88	72.9	81	6.23076923076923	3.30897200651735	7.90418243805725
18957941	N	0	Mol Psychiatry	2010	Yes	4.4	91.8	150	12.5	2.83873726169145	6.33023856918752
18976728	N	0	Am J Hum Genet	2008	Yes	7.74	96.9	331	23.6428571428571	3.0532009695606	7.29569390969462
18978787	N	0	Nat Genet	2008	Yes	8.85	97.5	427	30.5	3.44755810124768	8.55290250526311
18978790	N	0	Nat Genet	2008	Yes	9.35	97.8	434	31	3.316064901425	8.13370283117923
18978792	N	0	Nat Genet	2008	Yes	7.62	96.8	369	26.3571428571429	3.45910806794178	8.58972374225769
18980221	N	0	Am J Med Genet B Neuropsychiatr Genet	2008	Yes	5.07	93.5	194	13.8571428571429	2.73065978277254	6.26743419312739
18985386	N	0	Hum Genet	2009	Yes	8.49	97.3	327	25.1538461538462	2.96423241118927	6.84709622225017
18987618	N	0	Eur J Hum Genet	2009	Yes	0.89	46.1	41	3.15384615384615	3.52802487417892	8.57587135942321
18991354	N	0	Ann Neurol	2008	Yes	4.66	92.5	204	14.5714285714286	3.12884215652663	7.53683764158521
18997785	N	0	Nat Genet	2008	Yes	2.73	83.2	131	9.35714285714286	3.43350404997654	8.5080982589571
18997786	N	0	Nat Genet	2008	Yes	4.69	92.6	201	14.3571428571429	3.06305398271247	7.32710526714563
19009022	N	0	Mol Med	2009	Yes	1.28	59.6	48	3.69230769230769	2.87499471421348	6.5734637742173
19010793	N	0	Hum Mol Genet	2009	Yes	7.59	96.8	324	24.9230769230769	3.28257685461102	7.82324612664293
19011631	N	0	Nat Genet	2008	Yes	8.92	97.6	441	31.5	3.53085369673784	8.81844845386871
19023125	N	0	Schizophr Bull	2009	Yes	4.09	90.8	167	12.8461538461538	3.14375038124001	7.39755800326407
19030899	N	0	Hum Genet	2009	Yes	0.76	40.3	36	2.76923076923077	3.6353910489622	8.90509174763925
19043545	N	0	PLoS Genet	2008	Yes	10.56	98.2	436	31.1428571428571	2.95006337587218	6.96689176845623
19047183	N	0	Hum Mol Genet	2009	Yes	3.52	88.4	124	9.53846153846154	2.70797143095475	6.06131485705092
19056611	N	0	Diabetes	2009	Yes	2.02	75.1	85	6.53846153846154	3.23535411732246	7.67844551384154
19060906	N	0	Nat Genet	2009	Yes	25.49	99.7	1021	78.5384615384615	3.08165352130496	7.20714838518763
19060907	N	0	Nat Genet	2009	Yes	13.61	98.9	522	40.1538461538462	2.94961445420007	6.8022727060485
19060909	N	0	Nat Genet	2009	Yes	10.86	98.3	412	31.6923076923077	2.91794255622452	6.70515613681151
19060910	N	0	Nat Genet	2009	Yes	12.61	98.7	527	40.5384615384615	3.2150972126724	7.61633110931507
19060911	N	0	Nat Genet	2009	Yes	16.83	99.3	658	50.6153846153846	3.00766290752717	6.98026856347994
19065144	N	0	Mol Psychiatry	2009	Yes	8.13	97.1	299	23	2.82996263225746	6.43538043899873
19074352	N	0	Science	2008	Yes	10.55	98.2	457	32.6428571428571	3.09374621191478	7.42495194283584
19079260	N	0	Nat Genet	2009	Yes	24.26	99.7	949	73	3.00871028011326	6.98348015605178
19079261	N	0	Nat Genet	2009	Yes	33.09	99.8	1247	95.9230769230769	2.8991543524319	6.64754525741702
19079262	N	0	Nat Genet	2009	Yes	6.26	95.4	255	19.6153846153846	3.13272559169722	7.36375233308344
19081515	N	0	Lancet Neurol	2009	Yes	2.26	78.4	98	7.53846153846154	3.33094772978512	7.97156731192601
19084217	N	0	Am J Hum Genet	2009	Yes	3.16	86.4	122	9.38461538461539	2.97177602057622	6.87022743667531
19096518	N	0	PLoS Genet	2008	Yes	1.65	68.5	73	5.21428571428571	3.16352231547008	7.64739781766943
19107115	N	0	Mol Psychiatry	2010	Yes	5.4	94.2	195	16.25	3.00883210579929	6.87374118504568
19110211	N	0	Am J Hum Genet	2009	Yes	1.97	74.3	86	6.61538461538462	3.3639064474452	8.07262969814825
19114657	N	0	Proc Natl Acad Sci U S A	2009	Yes	5.62	94.5	221	17	3.02679452754907	7.03893247120998
19115949	N	0	J Infect Dis	2009	Yes	3.87	90	177	13.6153846153846	3.51848377966761	8.54661519149734
19116933	N	0	Arthritis Rheum	2009	Yes	1.28	59.4	54	4.15384615384615	3.2559658700825	7.74164800065052
19117981	N	0	Cancer Res	2009	Yes	2.03	75.2	94	7.23076923076923	3.56393294992474	8.68597745811762
19118814	N	0	Am J Hum Genet	2009	Yes	5.04	93.4	196	15.0769230769231	2.9889177092414	6.92278955326762
19122664	N	0	Nat Genet	2009	Yes	6.83	96.1	305	23.4615384615385	3.43293215328783	8.28428546143
